人工智能,大学物理II-2,大学英语i,大学英语iii1,大学计算机iii,工程制图,形式语言与编译,操作系统原理i,数字逻辑电路,数学建模ii,数据库系统,数理逻辑,概率统计与随机过程,模拟电子技术基础,电路,离散数学a,程序设计基础,线性代数与解析几何,编译器设计专题实验,计算机图形学,计算机组成,计算机网络原理,软件工程,高等数学I-1,高等数学I-2
85,89,0,86,0,96,81,85,85,0,82,90,94,93,95,87,95,94,79,0,87,84,85,91,85
78,84,0,82,0,88,75,86,87,87,76,76,93,89,87,75,88,75,88,0,80,82,80,76,82
0,86,0,77,0,94,85,86,79,84,78,0,78,88,84,85,98,0,71,87,82,85,80,84,89
91,77,78,0,83,65,80,91,86,86,75,0,68,0,82,69,83,82,74,0,85,93,0,84,72
0,0,83,0,76,87,0,0,0,0,0,0,0,0,0,0,93,94,0,0,0,0,0,93,88
0,90,73,0,81,84,81,84,89,90,87,0,84,0,90,94,77,90,88,97,85,90,0,70,72
92,92,84,0,0,0,70,85,81,0,82,0,74,0,90,86,95,93,86,86,75,89,0,83,91
76,87,84,0,77,79,60,67,75,93,71,0,69,0,86,92,93,80,79,80,84,69,0,81,79
90,0,87,0,0,0,79,97,94,92,85,0,90,0,92,98,100,96,74,0,86,95,0,96,96
78,87,0,75,0,89,74,76,78,100,80,92,80,87,87,87,76,90,81,93,80,78,77,88,81
89,92,0,80,0,90,77,88,81,0,85,98,93,94,90,92,96,95,97,95,90,83,81,91,88
89,0,0,0,86,72,72,80,86,0,77,0,90,0,92,95,83,80,78,85,85,91,0,85,60
88,0,0,87,0,87,83,87,89,0,76,90,84,92,91,90,99,93,76,90,86,77,73,89,86
0,94,78,0,0,0,0,0,82,92,0,0,98,0,86,93,97,90,0,0,0,0,0,79,93
82,88,75,0,84,79,78,87,87,74,80,0,82,0,97,85,100,87,85,0,69,76,0,78,88
78,84,0,74,0,83,71,83,72,0,75,0,82,86,88,82,83,93,80,0,92,87,82,89,90
0,0,80,0,74,77,0,0,0,0,0,0,0,0,0,0,96,75,0,0,0,0,0,77,65
0,77,0,0,85,86,0,0,89,91,0,0,78,0,63,64,77,83,0,0,0,0,0,74,67
90,86,79,0,90,81,77,86,83,83,86,0,87,0,94,90,85,85,87,92,74,78,0,81,87
0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,79,0,70,0,88,71,88,85,0,64,89,83,89,91,88,91,80,85,0,81,72,73,78,76
98,87,0,91,0,79,84,92,90,0,82,98,97,92,98,76,91,98,90,0,97,88,84,91,91
20,24,0,71,0,23,0,20,20,60,30,20,21,26,20,28,61,31,79,20,34,20,39,73,84
0,88,84,0,88,94,62,83,71,0,73,0,60,0,82,87,87,73,88,91,86,72,0,81,82
79,81,76,0,73,81,0,92,86,90,84,0,74,0,78,90,66,90,76,87,64,84,0,83,73
96,81,0,82,0,65,68,72,81,97,83,83,70,90,76,80,71,90,87,89,85,78,86,84,86
74,70,0,0,0,74,69,77,75,0,72,96,94,85,94,78,82,87,91,0,80,67,74,79,74
66,70,0,0,0,0,79,73,76,85,81,0,66,66,78,83,0,70,70,78,81,81,65,41,0
84,96,0,90,0,67,80,86,84,0,83,86,77,78,85,85,90,85,91,92,80,83,80,90,90
73,51,0,71,0,66,61,82,55,71,77,0,51,63,52,60,81,63,77,78,82,69,74,63,60
0,84,80,0,88,92,0,0,68,85,0,0,61,0,70,81,91,81,0,0,0,0,0,74,82
81,72,0,72,0,63,60,72,87,69,60,0,66,75,62,60,77,64,79,0,64,60,69,61,61
0,0,78,0,0,0,0,0,94,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,72,0,66,0,62,72,78,74,0,74,83,76,79,64,83,89,78,85,0,66,75,82,85,83
86,0,0,77,0,81,65,76,69,0,73,0,71,85,80,79,87,77,90,96,74,75,80,73,77
89,86,0,79,0,87,81,77,90,0,80,92,84,69,87,90,91,0,76,0,91,84,71,85,80
0,87,77,0,77,82,82,85,89,90,83,0,84,0,87,94,100,94,80,87,83,83,0,79,81
94,90,0,79,0,88,75,85,94,97,85,93,90,79,94,95,91,87,80,100,81,81,88,95,94
0,90,76,0,0,0,0,0,77,92,0,0,87,0,73,77,95,76,0,0,0,0,0,84,76
89,91,0,79,0,94,87,79,84,97,90,93,87,96,96,92,92,0,76,99,83,84,87,91,95
0,87,0,0,0,73,77,98,72,86,75,84,79,94,72,79,91,94,82,91,86,93,85,86,85
81,91,0,0,76,80,78,91,76,90,80,0,78,0,95,82,80,86,78,0,88,81,0,87,85
94,91,0,76,0,85,66,88,76,100,83,94,86,96,89,94,68,89,67,89,86,96,76,87,81
0,62,0,64,0,60,0,0,23,68,0,70,70,60,79,73,48,78,0,0,0,0,0,0,85
88,0,75,0,73,92,89,90,80,73,84,0,84,0,91,88,94,78,82,94,88,90,0,80,92
90,93,0,84,0,76,83,99,91,98,87,87,88,80,92,87,93,94,87,95,91,94,83,93,94
0,85,0,0,92,71,0,0,81,92,0,0,93,0,69,88,78,91,0,0,0,0,0,79,68
0,97,0,0,81,80,0,0,85,94,0,0,90,0,84,86,85,93,0,0,0,0,0,82,81
0,63,0,77,0,72,75,77,75,0,65,68,77,74,63,69,82,79,80,63,66,68,66,80,80
0,0,78,0,89,88,0,0,0,0,0,0,0,0,0,0,100,97,0,0,0,0,0,91,91
72,82,0,72,0,81,69,85,71,0,70,79,68,74,79,80,89,78,80,83,84,70,72,82,79
0,0,0,0,73,90,87,92,89,93,90,0,86,0,81,90,89,83,76,91,71,92,0,84,83
0,85,74,0,89,96,0,0,81,90,0,0,77,0,76,92,94,79,0,0,0,0,0,62,68
80,78,0,74,0,70,74,76,79,0,81,87,60,91,60,71,72,75,91,73,62,63,73,70,62
0,0,0,0,89,69,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,90,74
0,0,83,0,88,90,0,0,0,0,0,0,0,0,0,0,98,98,0,0,0,0,0,89,89
79,74,0,74,0,76,60,75,62,0,68,0,90,81,88,62,70,68,77,0,61,76,79,66,82
72,82,82,0,83,89,77,69,84,0,70,0,79,0,66,76,71,70,92,54,64,70,0,75,77
0,0,85,0,72,82,0,0,0,0,0,0,0,0,0,0,73,87,0,0,0,0,0,84,84
0,90,75,0,0,0,84,86,79,80,87,0,86,0,95,80,98,89,88,0,89,78,0,88,91
0,0,80,0,91,85,0,0,0,0,0,0,0,0,0,0,95,94,0,0,0,0,0,75,87
81,80,0,78,0,72,77,92,88,0,84,0,91,73,92,75,97,78,80,0,92,82,81,73,68
61,85,0,73,0,69,71,69,70,0,67,0,63,69,64,61,82,68,78,0,75,60,71,62,62
0,0,0,0,77,82,0,0,0,0,0,0,0,0,0,0,84,64,0,0,0,0,0,84,66
0,80,0,75,0,94,79,81,76,0,76,78,82,75,77,88,96,83,93,75,73,75,81,77,92
0,89,0,78,79,96,71,85,67,0,77,0,82,0,97,85,77,89,78,75,73,67,0,79,92
0,0,79,0,68,88,0,0,0,0,0,0,0,0,0,0,81,80,0,0,0,0,0,76,78
0,0,83,0,92,79,0,0,0,0,0,0,0,0,0,0,98,95,0,0,0,0,0,93,92
90,97,0,81,0,0,79,95,86,95,91,89,94,88,98,96,77,97,87,0,91,95,87,0,0
83,74,0,87,0,83,75,87,84,0,74,81,81,88,84,81,87,81,90,85,92,80,80,82,78
76,60,0,0,0,60,60,76,70,0,75,87,77,64,76,68,88,60,95,0,81,77,82,67,60
0,0,90,0,84,63,0,0,0,0,0,0,0,0,0,0,62,68,0,0,0,0,0,60,60
84,87,0,71,0,63,83,87,87,0,84,0,87,95,99,94,83,96,89,93,92,86,81,95,95
90,0,73,0,80,90,81,89,88,91,89,0,77,0,86,81,70,81,83,96,94,84,0,75,81
0,85,0,0,0,0,0,0,72,88,0,0,84,0,70,85,97,93,0,0,0,0,0,83,85
74,93,84,0,0,0,84,79,87,80,88,0,76,0,85,96,0,94,82,0,75,79,0,86,90
84,74,0,80,0,62,85,86,78,81,64,85,73,87,78,91,84,86,71,79,67,78,78,89,76
68,80,0,83,0,76,60,75,70,0,65,68,90,64,76,86,99,99,89,71,74,64,64,92,83
53,69,0,0,64,68,60,72,75,65,63,0,60,0,62,70,62,73,80,78,60,72,0,60,68
0,0,0,0,76,89,0,0,90,95,0,0,99,0,94,95,96,97,0,0,0,0,0,92,85
87,80,0,78,0,83,84,80,69,0,87,91,92,93,85,86,75,75,79,92,92,83,93,81,84
86,88,0,0,0,0,85,90,85,90,83,0,79,0,95,91,100,79,90,91,90,95,0,83,95
89,89,76,0,93,95,83,88,87,0,95,0,87,0,93,86,98,70,87,92,93,78,0,82,85
75,73,81,0,79,75,66,80,73,76,75,0,71,0,76,78,76,77,85,0,81,72,0,82,79
0,0,73,0,86,67,81,85,79,82,78,0,60,0,78,78,97,85,79,85,80,79,0,80,73
60,0,0,82,0,94,74,68,78,94,61,93,89,82,85,80,93,90,84,67,73,60,60,75,81
80,0,0,71,0,71,82,74,83,0,75,93,83,94,80,83,88,83,77,94,78,75,75,87,70
72,75,0,71,0,60,68,74,72,0,67,0,74,60,61,62,84,79,79,71,60,67,70,79,70
0,68,83,0,68,83,35,0,79,0,62,0,72,0,54,70,74,86,75,0,0,0,0,78,69
78,91,0,74,0,86,93,84,74,100,77,84,75,83,85,87,77,86,70,0,77,73,78,90,77
82,78,75,0,86,86,56,80,81,91,74,0,69,0,88,82,68,77,80,83,79,86,0,66,82
0,0,82,0,81,98,0,0,0,0,0,0,0,0,0,0,69,84,0,0,0,0,0,92,80
0,0,76,0,82,80,0,0,0,0,0,0,0,0,0,0,98,98,0,0,0,0,0,90,96
0,0,85,0,87,81,0,0,0,0,0,0,0,0,0,0,97,98,0,0,0,0,0,97,93
0,0,89,0,68,77,0,0,0,0,0,0,0,0,0,0,90,95,0,0,0,0,0,90,85
84,74,0,71,0,85,61,85,64,0,73,0,70,70,86,80,92,83,90,81,87,80,80,75,67
0,65,0,0,0,0,71,88,73,78,60,75,0,90,86,83,0,82,85,72,66,82,61,0,0
98,97,0,0,86,82,90,97,80,96,93,0,95,0,93,96,92,87,92,95,89,98,0,77,88
84,81,0,77,0,90,60,65,64,97,70,83,70,79,74,78,73,0,74,95,72,64,60,92,80
0,87,84,0,0,75,81,93,88,77,89,0,88,0,73,89,95,94,98,94,90,94,0,90,84
0,0,76,0,0,0,74,83,62,0,74,0,68,0,81,75,0,84,91,91,82,72,0,96,89
0,0,78,0,82,94,0,0,0,0,0,0,0,0,0,0,85,94,0,0,0,0,0,87,80
88,93,0,0,0,92,87,97,93,0,88,95,94,96,0,94,0,98,83,0,96,88,84,90,92
0,0,76,0,86,82,0,83,81,0,87,0,85,0,89,87,90,89,87,91,68,77,0,85,85
0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,88,94
0,96,81,0,74,80,0,0,71,95,0,0,81,0,82,87,70,84,0,0,0,0,0,78,74
0,96,0,0,0,0,88,93,78,0,84,0,88,89,94,95,94,95,79,100,98,94,88,90,90
56,86,0,0,89,77,54,74,67,81,0,0,77,0,85,70,78,88,80,82,62,69,0,86,71
73,63,0,76,0,71,67,61,71,0,71,76,71,62,76,64,83,61,79,0,66,61,67,71,63
76,81,0,79,0,60,66,83,84,97,79,89,68,76,69,71,97,86,80,90,71,66,71,86,77
75,84,0,71,0,73,77,87,83,90,82,86,91,67,80,85,96,85,94,0,85,70,82,79,89
94,0,80,0,82,97,84,89,86,90,86,0,84,0,92,96,100,99,88,0,85,88,0,91,97
67,74,0,70,0,75,60,74,69,0,62,72,60,83,76,72,87,43,79,0,72,64,60,60,60
85,0,77,0,88,75,93,95,85,87,90,0,94,0,91,90,90,90,94,96,74,88,0,91,83
86,90,77,0,81,84,83,89,90,0,83,0,79,0,93,88,91,90,84,0,88,88,0,70,89
77,0,81,0,91,92,78,85,89,94,82,0,69,0,81,92,87,87,97,86,70,78,0,74,77
0,94,81,0,87,76,0,0,92,96,0,0,94,0,95,92,97,86,0,0,0,0,0,72,80
76,69,0,75,0,62,62,82,71,74,75,84,64,87,64,75,85,84,80,65,60,60,84,69,84
81,92,0,83,0,0,68,72,81,98,78,0,80,72,94,90,94,91,72,94,60,78,81,0,0
0,96,91,0,84,0,0,0,60,0,0,0,77,0,0,0,88,83,0,0,0,0,0,73,86
87,92,0,0,72,74,92,90,80,0,85,0,68,0,91,93,87,88,92,92,88,93,0,83,91
0,0,76,0,84,80,0,0,75,96,0,0,85,0,87,94,85,92,0,0,0,0,0,79,83
84,0,0,0,0,95,84,86,83,100,81,91,87,87,89,90,87,93,73,82,82,81,76,97,98
96,99,83,0,85,88,92,92,93,92,90,0,94,0,93,91,84,89,84,0,92,96,0,81,86
87,95,79,0,0,0,84,93,91,94,88,0,93,0,92,94,98,89,82,95,93,82,0,86,85
0,0,80,0,0,96,0,0,90,95,0,0,94,0,93,94,0,0,0,0,0,0,0,0,0
77,87,0,70,0,0,72,82,87,0,82,93,75,87,84,90,94,91,85,92,84,77,77,0,0
0,0,0,0,0,0,0,87,0,96,73,0,70,0,0,0,0,0,0,77,83,90,0,0,0
78,0,74,0,88,86,78,88,74,88,85,0,71,0,74,89,73,75,76,70,75,92,0,85,78
0,84,0,0,87,94,0,0,80,93,0,0,64,0,68,80,97,83,0,0,0,0,0,74,68
0,0,73,0,79,94,0,0,0,0,0,0,0,0,0,0,90,97,0,0,0,0,0,87,94
0,0,0,0,72,90,0,0,0,0,0,0,0,0,0,0,64,62,0,0,0,0,0,70,67
0,0,79,0,76,96,0,0,0,0,0,0,0,0,0,0,80,82,0,0,0,0,0,85,78
0,0,74,0,0,97,0,81,89,0,0,0,88,0,82,99,100,82,0,0,0,87,0,76,79
92,69,0,72,0,85,76,78,82,0,74,95,73,83,80,72,89,76,83,83,78,90,71,74,78
0,0,75,0,68,99,0,0,0,0,0,0,0,0,0,0,75,99,0,0,0,0,0,96,91
0,81,75,0,90,71,71,61,60,84,63,0,63,0,67,77,86,89,73,0,47,61,0,91,80
90,93,0,76,0,85,89,81,89,0,81,89,78,76,88,78,93,99,89,95,96,86,83,81,90
86,90,0,0,0,91,67,90,84,0,76,0,78,89,75,81,88,85,82,0,68,82,88,76,88
95,88,0,81,0,0,89,88,91,99,86,0,84,97,82,82,100,0,76,92,90,94,90,0,0
75,81,0,80,0,60,82,89,80,0,81,91,91,93,95,82,0,0,90,94,93,86,83,0,0
0,0,0,0,90,90,0,0,0,0,0,0,0,0,0,0,100,83,0,0,0,0,0,80,89
84,80,0,0,74,89,85,75,67,89,86,0,83,0,67,89,87,71,86,86,71,73,0,84,88
0,0,76,0,79,71,0,0,0,0,0,0,0,0,0,0,100,84,0,0,0,0,0,85,86
96,80,0,79,0,0,77,82,85,0,89,95,93,86,78,85,0,96,82,90,87,73,72,0,0
74,62,0,76,0,75,60,74,60,0,60,0,71,74,60,83,86,70,84,0,86,61,64,81,73
82,91,81,0,78,75,72,84,78,0,77,0,73,0,95,92,90,84,88,82,77,75,0,85,87
0,97,90,0,81,71,0,0,60,0,0,0,70,0,0,0,97,75,0,0,0,0,0,80,86
0,0,74,0,92,87,0,0,0,0,0,0,0,0,0,0,98,91,0,0,0,0,0,85,88
0,69,0,0,0,0,0,0,0,0,0,0,63,0,55,74,0,64,0,0,0,0,0,0,0
0,89,82,0,75,77,0,0,88,98,0,0,89,0,88,92,94,88,0,0,0,0,0,82,77
90,97,0,0,94,96,93,90,83,83,88,0,87,0,94,93,100,85,84,0,76,86,0,83,86
0,86,0,80,0,90,87,97,74,80,83,0,90,97,82,86,97,93,83,85,91,87,87,83,94
0,95,89,0,93,87,0,0,90,95,0,0,96,0,97,96,90,96,0,0,0,0,0,86,91
82,63,0,70,0,61,60,75,73,0,71,0,68,82,83,60,83,77,91,84,70,66,75,66,63
0,96,0,0,96,99,73,87,86,92,89,0,99,0,97,95,100,88,75,0,88,84,0,91,96
85,81,0,78,0,70,66,87,74,0,76,80,67,69,65,76,90,85,90,0,73,84,71,79,80
0,0,84,0,78,80,0,0,0,0,0,0,0,0,0,0,85,91,0,0,0,0,0,93,90
0,0,82,0,0,0,0,0,94,93,0,0,99,0,99,98,100,98,0,0,0,0,0,88,91
87,89,0,72,0,0,74,81,84,0,82,92,86,88,94,87,82,92,92,91,86,81,71,86,91
90,87,0,85,0,92,73,80,87,96,78,0,76,86,88,77,100,92,78,93,70,81,78,78,74
0,60,0,0,62,0,0,0,50,82,0,0,48,0,33,54,0,64,0,0,0,0,0,0,0
78,80,74,0,77,93,66,81,65,0,76,0,65,0,89,76,94,63,80,79,79,77,0,86,82
93,89,0,0,72,92,92,93,77,86,90,0,93,0,92,87,78,90,96,0,92,92,0,88,71
0,95,78,0,93,82,0,0,84,94,0,0,80,0,86,90,100,91,0,0,0,0,0,72,62
95,94,80,0,89,82,89,96,89,85,88,0,94,0,97,94,87,92,88,94,90,74,0,89,84
85,85,0,81,0,70,62,76,69,0,78,72,78,89,78,69,84,81,81,0,75,75,68,61,73
92,96,0,83,0,96,83,89,92,99,84,97,91,100,99,88,88,96,87,96,87,84,91,92,93
68,69,0,75,0,75,69,81,71,88,81,80,78,79,77,85,94,93,79,83,83,77,76,84,83
0,87,0,72,0,64,92,90,90,98,77,98,88,97,82,93,90,0,70,87,80,88,75,81,77
0,93,0,0,92,90,0,0,88,95,0,0,91,0,96,92,93,92,0,0,0,0,0,95,92
74,82,0,67,0,84,67,84,74,0,76,86,81,83,88,75,95,81,83,94,85,73,79,78,81
0,95,0,0,95,92,0,0,81,97,0,0,96,0,96,95,92,89,0,0,0,0,0,85,89
0,0,0,0,74,82,0,0,0,0,0,0,0,0,0,0,74,84,0,0,0,0,0,94,90
0,74,0,0,0,0,67,82,0,0,90,0,0,0,70,81,0,88,86,0,78,86,0,0,0
0,98,0,0,94,96,0,0,82,0,0,0,100,0,96,97,100,96,0,0,0,0,0,95,95
0,0,0,0,96,88,0,0,0,0,0,0,0,0,0,0,100,84,0,0,0,0,0,93,82
0,96,0,0,80,90,94,96,80,89,92,0,93,0,96,95,83,92,83,0,87,94,0,80,89
0,0,0,0,80,92,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,91,90
0,70,0,77,0,64,68,85,69,74,65,0,71,69,71,64,70,78,85,70,61,81,66,66,74
72,84,0,0,0,90,87,81,81,0,73,91,86,74,75,85,95,95,70,76,79,73,84,86,91
91,78,0,0,0,71,75,92,84,90,81,0,83,61,81,87,90,86,94,96,91,87,84,78,90
96,94,0,83,0,91,78,86,63,0,84,81,83,92,93,78,0,90,79,83,76,85,96,0,0
78,66,0,78,0,67,67,80,67,0,76,0,63,68,61,61,86,66,90,79,80,82,78,70,71
71,90,81,0,85,93,73,93,92,0,79,0,90,0,97,89,93,91,90,0,89,92,0,91,90
0,0,0,0,0,0,45,0,81,0,39,0,0,0,66,0,0,0,0,0,0,71,0,0,0
66,75,0,69,0,68,61,83,79,0,69,0,68,70,71,80,81,85,70,72,81,68,68,61,65
0,91,0,0,60,80,0,0,79,0,0,0,92,0,90,79,82,97,0,0,0,0,0,73,89
0,97,0,88,0,93,84,0,88,0,0,0,88,93,85,87,96,95,98,0,0,0,0,89,87
0,85,0,0,72,85,0,0,92,90,0,0,84,0,90,91,90,85,0,0,0,0,0,78,90
0,0,78,0,85,90,0,0,0,0,0,0,0,0,0,0,89,95,0,0,0,0,0,95,94
84,81,0,0,0,75,83,87,81,86,82,0,86,91,78,81,84,93,79,80,72,80,87,94,97
82,0,82,0,81,81,60,80,84,85,60,0,90,0,91,81,88,85,60,87,60,77,0,73,86
0,49,0,0,0,0,0,0,70,84,0,0,54,0,56,64,0,61,0,0,0,0,0,0,0
0,0,84,0,82,95,0,0,0,0,0,0,0,0,0,0,93,88,0,0,0,0,0,89,86
80,74,0,70,0,84,63,71,60,90,71,0,68,86,60,90,92,88,80,0,67,60,63,76,72
86,0,68,0,82,82,95,89,89,90,87,0,90,0,89,90,78,83,91,0,84,87,0,80,82
0,87,0,78,0,84,80,80,84,91,70,0,72,95,78,82,97,91,80,73,82,78,73,73,71
96,89,0,79,0,86,92,90,92,0,84,99,92,88,99,84,93,97,78,93,91,86,89,90,90
90,93,0,75,0,89,82,88,89,98,70,95,66,90,83,88,71,0,90,93,88,86,88,75,81
0,89,0,0,76,78,0,0,88,96,0,0,99,0,90,94,100,96,0,0,0,0,0,85,90
0,0,85,0,79,90,0,0,0,0,0,0,0,0,0,0,80,88,0,0,0,0,0,80,88
0,93,76,0,80,88,67,74,73,81,78,0,77,0,80,93,88,82,80,78,68,73,0,92,87
92,94,0,0,0,78,82,85,91,100,60,95,76,83,86,92,77,93,87,92,80,84,68,80,82
0,81,74,0,79,90,0,89,75,0,79,0,75,0,69,80,74,78,82,0,79,71,0,75,76
80,78,0,70,0,76,73,81,86,0,78,81,81,78,74,81,86,75,79,83,87,71,76,67,75
83,86,78,0,0,0,72,72,71,90,71,0,70,0,88,81,0,63,80,0,75,64,0,73,81
82,75,0,0,0,77,60,72,61,0,74,77,61,70,60,63,83,60,81,82,75,78,71,62,65
61,86,82,0,92,89,0,79,73,78,79,0,62,0,78,79,87,85,82,0,65,80,0,72,74
0,99,90,0,0,0,0,0,87,92,0,0,98,0,85,93,100,97,0,0,0,0,0,94,90
0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,87,86
89,95,0,81,0,80,73,90,83,0,90,95,92,88,98,81,91,98,79,0,86,92,76,93,91
91,82,0,71,0,87,85,90,90,99,86,91,85,98,84,79,81,78,76,91,81,88,90,81,82
0,0,86,0,83,83,0,0,0,0,0,0,0,0,0,0,87,99,0,0,0,0,0,93,95
0,70,0,72,0,79,74,70,74,0,75,79,67,60,62,80,86,86,80,67,74,60,69,91,79
0,0,0,0,0,0,0,0,79,0,0,0,0,0,71,0,0,0,0,0,0,71,0,0,0
0,0,82,0,80,69,0,0,0,0,0,0,0,0,0,0,99,92,0,0,0,0,0,92,89
61,69,0,77,0,80,60,78,69,0,60,0,80,76,61,65,85,78,80,0,64,63,60,68,64
0,67,0,72,0,80,64,88,87,92,81,0,62,61,71,61,89,64,80,73,84,70,81,0,0
0,92,83,0,81,86,0,0,87,90,0,0,90,0,76,88,80,87,0,0,0,0,0,72,72
83,80,81,0,78,70,78,88,69,91,82,0,71,0,81,72,94,90,71,67,80,79,0,84,85
85,86,0,81,0,82,81,84,80,0,72,85,74,77,97,74,88,89,90,0,87,88,83,74,86
89,83,70,0,79,79,75,82,88,90,85,0,74,0,83,84,88,75,71,88,65,79,0,70,75
0,70,79,0,66,74,33,8,49,81,46,0,61,0,56,61,87,75,0,0,4,8,0,79,87
88,93,0,83,0,92,87,85,85,88,81,85,93,95,80,91,88,92,96,78,91,90,89,84,85
94,88,0,74,0,81,92,96,90,96,78,93,90,98,87,92,85,94,86,89,84,79,86,98,91
0,0,73,0,76,79,0,0,0,0,0,0,0,0,0,0,95,96,0,0,0,0,0,88,78
88,81,0,0,82,89,62,88,72,90,78,0,73,0,71,81,62,83,80,0,84,80,0,76,66
72,81,71,0,80,77,64,60,68,70,63,0,60,0,83,84,65,83,71,84,76,67,0,82,69
66,74,69,0,75,81,70,77,75,76,66,0,75,0,82,80,61,78,82,0,68,68,0,85,77
85,85,0,82,0,78,70,92,83,0,79,91,90,84,91,92,0,90,90,0,90,80,78,0,0
84,81,0,77,0,67,69,73,76,0,76,90,92,86,75,78,87,75,82,88,80,68,80,72,82
87,87,0,75,0,77,72,85,86,0,81,88,80,63,71,80,91,85,94,91,87,87,85,83,84
60,81,0,0,0,85,77,89,81,0,83,88,86,86,87,76,90,84,95,60,60,78,75,67,78
73,82,78,0,76,86,60,90,61,93,80,0,72,0,84,90,81,73,80,0,67,76,0,78,84
0,91,86,0,87,83,84,85,83,0,85,0,71,0,86,92,96,91,85,77,95,87,0,74,75
83,92,80,0,0,0,73,80,81,92,83,0,82,0,91,92,87,90,83,87,90,86,0,85,94
