形式语言与编译,操作系统原理i,操作系统设计专题实验,数据库系统,编译器设计专题实验,计算机系统综合设计实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理,软件定义网络
0,0,0,0,0,0,0,0,0,0,0
72,87,98,68,92,90,76,70,79,72,91
0,0,0,0,0,0,0,0,0,0,0
81,86,93,82,88,92,77,88,89,77,0
63,66,87,80,0,76,80,83,87,60,0
65,81,92,84,82,0,82,95,87,75,0
0,0,92,0,0,0,0,90,0,0,0
84,94,96,89,81,83,92,86,92,79,91
64,86,88,71,92,70,68,70,83,75,84
0,0,0,0,0,0,0,0,0,0,0
0,91,92,86,87,0,74,90,92,87,0
51,83,92,77,80,0,71,70,87,72,0
0,0,0,0,0,0,0,0,0,0,0
74,84,92,73,65,87,81,97,92,85,0
0,0,0,0,0,0,0,0,0,0,0
61,80,98,77,97,83,78,79,87,66,68
0,0,0,0,0,0,0,0,0,0,0
79,97,98,92,90,98,91,98,98,90,0
96,84,92,88,88,0,83,80,87,82,0
71,88,98,64,85,92,81,87,87,72,72
82,74,87,75,77,92,78,95,79,75,81
85,75,87,86,86,0,71,81,87,73,0
75,92,83,81,94,94,91,92,87,87,95
78,86,90,84,79,83,76,90,87,85,88
0,88,98,88,82,0,82,87,92,83,94
71,85,92,74,85,98,85,79,87,71,79
0,0,0,0,0,0,0,0,0,0,0
78,84,92,77,85,92,77,90,90,81,90
0,0,0,0,0,0,0,0,0,0,0
78,75,92,74,75,92,70,95,79,76,79
78,88,71,71,80,83,86,71,87,85,0
0,0,0,0,0,0,0,0,0,0,0
85,92,98,86,91,76,95,98,98,93,92
76,89,86,74,82,83,86,80,87,86,87
90,87,98,79,82,0,87,80,92,71,0
78,97,92,87,86,85,90,88,92,81,97
90,91,93,86,79,83,95,81,90,94,88
82,88,98,85,93,87,92,92,83,93,94
68,0,0,80,85,0,0,0,79,0,0
72,84,92,78,90,76,72,85,98,72,87
87,85,98,88,100,0,80,95,98,84,90
69,75,98,67,83,92,85,79,87,61,76
84,97,92,80,71,70,67,79,87,79,91
72,84,79,80,85,76,78,85,76,68,0
88,93,98,93,90,98,99,79,87,95,0
73,90,98,75,87,98,83,98,98,87,89
76,80,92,73,88,83,86,83,92,68,63
75,80,92,81,90,87,72,95,83,71,85
89,84,89,72,85,70,62,79,87,77,83
74,83,98,76,90,92,83,98,92,73,86
75,85,92,84,80,0,85,80,87,86,0
0,0,0,0,0,0,0,0,0,0,0
84,83,93,81,80,92,68,86,88,90,84
70,88,93,75,80,83,81,85,87,83,79
76,90,93,68,86,83,73,90,89,81,89
81,89,92,84,89,85,83,92,83,87,0
78,87,92,80,85,0,69,84,87,76,0
71,83,92,75,80,92,92,92,76,87,0
79,81,95,76,93,92,73,90,92,75,89
71,85,92,77,78,85,73,88,92,67,89
73,80,98,83,83,76,90,88,87,86,88
89,86,98,86,89,0,80,83,87,82,0
75,86,87,83,74,76,87,85,79,82,90
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
84,83,92,75,87,98,80,98,98,82,83
64,94,98,82,77,76,80,92,98,92,91
89,85,92,84,83,0,81,80,92,85,0
91,89,98,90,81,0,85,80,87,84,0
74,82,92,83,95,76,90,98,98,94,99
81,80,95,68,80,83,81,90,91,74,89
83,94,98,88,88,90,85,92,79,87,91
0,0,0,0,0,0,0,0,0,0,0
78,90,98,76,78,92,90,83,92,81,73
77,76,75,68,70,83,69,69,83,63,1
81,83,92,85,85,73,76,95,70,81,0
0,0,0,0,0,0,0,0,0,0,0
80,85,98,86,86,88,83,92,79,88,89
86,87,98,89,89,98,92,98,92,85,94
78,88,93,72,80,83,72,78,90,85,84
0,0,0,0,0,0,0,0,0,0,0
77,92,98,87,94,90,85,92,92,90,92
81,82,92,84,72,87,79,97,87,87,87
81,94,94,82,89,92,86,82,92,93,89
82,78,92,83,80,0,83,94,87,81,81
0,0,0,0,0,0,0,0,0,0,0
74,90,96,78,80,83,84,89,92,69,0
72,85,92,80,87,88,90,79,79,85,91
61,82,92,81,85,98,68,100,76,60,92
81,88,92,82,78,0,82,81,87,80,0
78,86,98,84,76,92,89,95,83,86,63
69,76,92,87,69,76,81,87,87,74,83
78,86,88,81,75,83,75,68,89,90,84
86,87,92,78,78,92,80,95,83,72,0
77,76,87,81,83,0,62,83,92,78,0
66,93,92,78,69,76,88,83,92,83,94
89,94,98,84,92,98,95,98,83,94,96
67,71,87,76,65,79,76,95,76,68,79
77,89,92,83,88,92,84,79,87,84,90
81,92,98,78,78,87,81,95,98,83,81
70,81,92,80,85,88,83,79,76,84,87
0,0,0,0,0,0,0,0,0,0,0
75,77,87,79,76,87,73,97,98,71,0
75,92,92,86,84,76,89,76,87,94,0
75,87,98,74,90,98,92,85,92,80,94
0,0,0,0,0,0,0,0,0,0,0
67,84,92,76,83,83,85,83,92,73,84
73,81,92,78,79,83,87,83,87,71,86
66,86,77,73,91,70,69,69,87,88,76
77,94,93,78,80,83,84,70,90,89,90
67,76,92,71,87,83,85,87,87,69,72
79,87,97,79,89,83,60,88,88,86,86
83,86,92,88,88,76,83,88,92,82,88
77,96,92,88,84,0,66,90,98,83,94
85,73,92,77,83,92,86,87,92,70,74
82,82,98,86,77,83,89,95,92,83,90
86,85,92,87,88,0,80,90,87,87,0
70,70,75,75,71,83,63,68,87,61,78
79,78,87,82,71,87,76,83,83,83,75
81,82,98,79,91,98,81,83,76,91,94
83,88,79,80,89,85,87,70,76,85,88
81,94,92,90,82,70,80,75,95,83,75
71,80,87,78,72,76,69,83,79,86,86
79,90,77,76,82,62,81,79,88,82,0
80,79,85,63,85,83,86,69,85,60,76
77,90,87,78,73,76,63,88,87,65,85
75,86,90,65,80,83,86,75,92,90,87
67,93,93,75,80,83,75,85,91,73,87
85,94,92,87,90,98,94,87,83,87,0
85,83,98,82,87,0,71,96,98,85,0
81,85,87,82,69,76,89,79,87,91,0
65,90,98,81,75,98,89,87,98,84,94
71,88,92,89,70,76,83,76,92,83,89
69,94,92,78,73,76,88,83,87,83,86
76,78,94,72,79,83,62,85,90,77,81
70,77,87,72,62,79,66,90,76,84,75
85,89,92,85,88,98,88,79,92,93,93
74,82,92,74,71,76,60,90,83,86,91
0,0,0,0,0,0,0,0,0,0,0
62,79,92,75,78,92,71,83,87,66,73
80,82,92,84,82,0,79,89,92,86,88
65,88,92,83,77,92,88,97,87,87,81
88,90,98,77,91,85,80,98,87,88,90
87,87,98,78,85,92,92,100,92,87,91
80,95,92,82,73,92,88,100,83,86,75
0,0,0,0,0,0,0,0,0,0,0
65,61,92,67,83,83,73,83,92,72,79
83,90,92,83,90,76,83,83,98,91,96
73,91,98,84,96,98,88,83,87,85,90
74,76,87,80,81,92,80,95,83,78,69
68,72,83,78,72,92,60,95,79,78,79
0,0,0,0,0,0,0,0,0,0,0
60,78,92,60,80,83,64,83,87,63,74
72,85,98,81,94,94,87,98,79,87,90
82,90,92,86,85,98,83,92,76,90,89
65,88,83,70,88,62,73,71,86,69,61
70,79,98,78,85,92,90,83,83,80,84
0,0,0,0,0,0,0,0,0,0,0
64,85,92,69,82,98,72,83,92,84,77
76,75,87,79,81,83,66,80,90,75,83
80,79,92,83,86,0,85,92,73,76,0
85,84,98,85,77,98,90,95,83,83,89
73,86,83,78,83,0,72,72,87,71,0
63,87,98,80,85,92,60,96,91,63,91
64,87,92,79,90,88,83,92,79,79,90
89,82,98,85,82,0,77,77,92,73,0
85,80,87,83,77,0,69,72,73,74,77
0,0,0,0,0,0,0,0,0,0,0
0,90,92,67,82,0,91,78,87,84,0
85,85,98,85,86,0,85,83,87,92,0
0,0,0,0,0,0,0,0,0,0,0
71,82,92,76,79,87,77,95,87,78,87
68,80,93,70,83,83,71,85,92,78,90
76,0,0,0,82,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
69,84,98,82,80,0,89,80,87,84,84
0,0,0,0,0,0,0,0,0,0,0
77,83,92,67,80,87,70,100,83,62,84
0,0,0,0,0,0,0,0,0,0,0
67,83,98,69,79,92,80,83,98,74,74
68,83,87,85,72,92,85,95,83,79,84
77,66,87,64,75,87,82,95,92,80,75
75,86,96,75,79,92,66,80,86,68,0
73,69,66,72,67,92,77,95,87,72,83
77,98,95,75,82,83,86,75,90,93,89
77,69,87,70,92,0,64,75,87,70,0
85,90,98,83,90,76,90,87,92,95,95
83,89,92,83,84,76,88,83,87,88,98
79,88,92,85,83,0,83,81,92,92,88
86,90,92,79,75,0,88,84,92,87,82
68,71,92,60,75,76,70,81,92,72,0
0,0,0,0,0,0,0,0,0,0,0
83,80,98,78,84,76,81,87,92,82,89
85,91,92,68,90,87,84,100,76,83,74
67,92,98,79,78,98,84,100,98,88,92
84,86,86,74,70,83,80,85,87,84,72
76,96,98,86,86,76,89,92,92,84,91
74,83,92,78,73,76,68,98,83,84,0
0,0,0,0,0,0,0,0,0,0,0
88,81,98,86,89,76,87,85,87,68,0
78,85,92,79,85,92,85,96,83,90,87
72,79,92,83,84,0,83,80,92,82,84
74,86,87,76,89,83,86,95,83,84,78
69,86,92,81,82,0,74,80,87,74,84
70,87,94,81,90,92,78,85,92,79,86
60,72,92,76,81,92,85,83,87,76,69
84,92,92,83,89,87,87,95,92,94,80
74,85,87,78,82,0,71,73,87,80,0
0,0,0,0,0,0,0,0,0,0,0
69,80,92,81,74,76,81,85,83,79,0
83,84,92,85,80,0,75,71,98,72,81
0,0,0,0,0,0,0,0,0,0,0
81,94,98,92,96,98,91,97,98,92,94
78,83,92,77,80,76,69,98,83,81,0
60,83,92,79,87,98,82,87,98,68,94
65,84,62,70,82,76,88,79,87,68,0
71,76,83,73,65,98,70,95,83,77,73
64,82,92,71,80,83,75,83,98,67,74
85,86,76,78,71,98,82,95,87,85,85
0,0,0,0,0,0,0,0,0,0,0
78,91,87,80,78,76,88,85,87,81,84
89,81,98,81,89,90,96,92,76,86,92
67,90,79,76,82,83,68,75,90,82,0
62,76,92,78,81,83,75,83,87,75,78
69,81,92,81,79,87,83,79,76,77,87
83,94,87,82,83,76,86,92,92,84,0
64,79,87,60,86,72,72,85,83,60,0
60,76,30,66,81,0,40,0,70,73,0
90,79,87,86,77,0,71,87,87,73,80
60,82,93,71,85,70,72,89,87,84,78
79,91,98,86,85,76,86,94,92,95,91
83,89,98,86,84,0,82,85,87,80,81
68,75,83,80,72,83,67,95,76,78,77
85,85,92,83,90,98,90,95,92,87,86
0,0,0,0,0,0,0,0,0,0,0
65,63,62,73,85,83,67,73,87,64,0
71,67,87,77,82,0,60,70,76,63,0
84,90,92,85,83,87,88,95,92,89,91
74,85,92,81,82,76,71,85,79,80,86
0,0,0,0,0,0,0,0,0,0,0
92,93,98,95,82,92,97,97,92,96,92
74,83,87,73,74,85,65,78,87,61,0
70,80,86,62,90,70,63,65,85,70,87
84,84,98,83,84,92,90,100,92,92,89
75,87,98,82,93,98,86,92,87,84,0
0,84,92,85,84,0,73,76,87,80,0
81,87,92,81,76,87,79,100,92,86,84
82,78,83,70,84,0,75,81,83,84,81
65,83,92,66,81,92,85,83,92,75,84
74,80,79,73,82,88,71,62,79,85,88
71,85,92,84,87,87,87,95,92,84,84
81,60,92,68,86,83,66,95,83,62,0
73,0,0,67,85,0,0,0,87,0,87
65,83,92,70,80,83,65,89,95,67,89
72,78,80,81,82,83,68,80,90,60,82
80,86,92,83,91,87,80,79,79,83,88
75,77,89,65,80,70,66,79,87,68,80
0,0,0,0,0,0,0,0,0,0,0
60,76,98,75,95,83,81,87,98,77,73
81,89,92,89,83,0,94,80,92,84,0
54,74,73,0,80,0,62,35,30,69,0
0,0,0,0,0,0,0,0,0,0,0
67,74,92,78,80,0,68,85,92,73,0
68,87,90,82,70,83,60,79,85,90,83
67,70,92,78,87,0,79,76,87,67,0
64,79,92,76,91,83,74,79,79,73,62
75,83,98,81,85,79,78,83,92,71,75
68,87,92,76,81,76,74,88,83,78,87
60,61,30,67,77,61,60,60,87,60,0
0,0,0,0,0,0,0,0,0,0,0
82,92,83,81,83,98,87,97,87,87,92
80,87,92,79,79,76,82,90,92,76,0
76,80,98,82,71,76,81,83,92,89,86
83,87,93,66,81,83,72,87,89,80,84
79,82,83,81,72,87,86,75,92,72,96
85,89,98,92,66,98,90,100,92,64,96
85,91,92,80,85,88,83,79,83,86,88
0,0,0,0,0,0,0,0,0,0,0
71,79,98,77,88,98,72,98,87,83,0
64,81,83,80,76,87,80,95,76,80,0
72,78,91,74,85,92,66,80,92,75,83
84,79,92,88,82,76,75,80,87,79,0
73,80,98,78,78,87,70,95,87,81,85
82,85,83,60,87,83,80,95,87,84,0
74,87,92,88,78,87,75,95,92,80,82
62,67,92,77,80,92,77,83,98,67,74
74,83,92,78,85,92,69,89,88,77,77
63,68,92,74,78,87,72,95,87,73,76
77,75,83,83,81,85,79,70,79,69,88
0,0,0,0,0,0,0,0,0,0,0
74,92,92,82,85,88,82,92,79,79,88
77,90,92,92,74,76,83,83,92,87,0
68,85,83,74,72,76,75,79,87,79,0
63,63,79,76,75,76,61,79,92,67,77
81,83,98,84,89,76,89,83,92,97,0
0,0,0,0,0,0,0,0,0,0,0
74,87,87,62,79,70,67,78,88,78,79
90,84,87,83,82,0,77,81,87,87,0
87,92,92,81,80,76,84,85,79,95,0
81,84,79,80,79,70,69,69,85,77,75
90,81,98,89,93,0,84,91,87,84,82
88,83,98,83,81,66,73,81,87,86,88
0,0,0,0,0,0,0,0,0,0,0
66,78,80,67,79,83,60,75,85,60,78
62,69,87,60,79,83,88,62,76,75,64
68,90,87,72,81,62,81,80,90,82,90
0,0,0,0,0,0,0,0,0,0,0
81,88,87,80,81,66,69,95,76,85,60
60,94,92,73,79,83,75,83,83,80,79
93,84,92,77,70,98,77,95,79,73,80
72,82,92,82,85,87,84,95,92,77,94
0,89,98,79,82,0,79,81,83,71,0
70,77,87,66,82,0,68,80,87,68,0
0,0,0,0,0,0,0,0,0,0,0
60,71,92,62,77,83,63,83,98,69,74
72,78,92,78,76,76,68,77,87,69,0
74,83,98,71,73,92,85,98,87,85,72
0,0,0,0,0,0,0,0,0,0,0
75,74,79,77,80,83,84,95,87,65,81
0,0,0,0,0,0,0,0,0,0,0
70,87,92,75,87,98,83,79,76,77,88
82,89,87,92,83,0,85,72,87,88,0
81,78,98,81,78,0,78,83,87,80,0
75,85,98,83,86,90,81,98,87,75,92
0,0,0,0,0,0,0,0,0,0,0
73,91,92,89,79,87,88,100,87,92,78
76,90,92,62,90,90,82,92,76,91,82
72,90,92,74,76,94,77,98,87,86,85
60,85,92,76,81,83,88,87,87,67,84
73,78,92,80,85,98,70,95,98,82,0
79,76,98,70,87,83,74,92,83,75,89
77,83,94,79,87,81,84,88,94,81,95
64,77,92,76,77,76,69,79,87,69,89
61,85,87,71,84,76,72,85,87,63,91
66,89,98,75,92,98,82,100,98,94,92
86,91,92,83,90,72,88,98,92,96,95
70,64,92,73,77,76,67,90,87,74,0
73,77,92,85,84,76,80,87,83,86,0
61,74,79,76,69,92,66,95,76,64,68
0,88,98,82,82,0,80,86,87,87,0
61,78,92,70,85,92,69,83,98,66,73
77,79,98,85,74,87,80,95,87,85,82
81,83,98,67,90,87,83,87,98,76,81
79,89,98,76,83,85,80,98,92,89,94
70,85,98,82,86,76,75,83,87,89,94
0,92,87,84,76,0,64,79,92,84,0
68,74,78,67,79,83,60,69,85,67,72
81,84,92,72,90,85,87,79,76,88,90
75,82,98,85,71,76,65,83,83,79,86
84,67,98,83,94,0,62,85,87,66,0
79,87,92,83,83,76,80,83,83,87,0
72,94,73,77,67,92,67,93,79,84,79
77,92,98,73,85,83,92,98,98,81,81
83,72,92,68,82,76,77,88,79,87,94
67,76,92,78,73,98,70,95,79,78,82
60,81,92,74,84,88,86,79,79,76,0
75,70,87,61,66,76,73,72,62,71,0
61,69,92,73,71,76,76,76,92,66,88
78,93,92,76,85,92,84,90,90,80,0
0,0,0,0,0,0,0,0,0,0,0
0,85,98,81,82,0,64,75,87,82,80
0,0,0,0,0,0,0,0,0,0,0
74,87,92,84,67,98,78,100,87,83,81
69,78,76,66,84,0,58,80,79,60,0
84,75,87,76,71,0,76,59,92,75,0
65,82,88,67,80,92,68,77,86,69,85
66,85,98,72,82,76,79,92,92,73,92
81,95,98,86,82,87,83,95,83,82,10
87,84,98,88,91,98,86,87,87,86,0
68,88,83,76,87,85,84,79,76,68,87
0,0,0,0,0,0,0,0,0,0,0
83,78,92,82,82,0,89,82,87,70,0
84,90,98,84,83,88,87,92,87,82,96
85,86,87,64,71,70,67,66,87,78,83
76,78,98,74,83,83,78,83,92,90,81
72,84,87,77,88,76,77,98,92,75,90
62,88,92,78,80,0,84,92,92,80,0
87,73,83,77,77,76,69,83,83,77,83
60,77,76,60,76,87,60,70,76,69,83
72,91,98,84,87,98,82,100,98,84,91
0,0,0,0,0,0,0,0,0,0,0
73,81,88,72,87,83,85,79,86,76,79
58,44,30,0,0,0,22,0,62,0,0
93,74,87,76,87,87,67,95,87,67,84
0,0,0,0,0,0,0,0,0,0,0
79,67,98,74,94,0,73,80,87,61,0
90,77,83,76,77,87,79,95,87,74,91
60,61,98,60,82,83,64,83,76,62,73
64,70,92,72,91,98,84,83,76,64,85
77,94,98,73,86,76,93,98,92,87,88
80,92,92,75,81,76,78,85,79,88,0
80,83,92,83,80,0,83,81,87,75,0
81,83,98,77,85,88,91,70,79,92,92
0,0,0,0,0,0,0,0,0,0,0
60,67,92,60,85,79,62,83,83,64,66
79,86,92,74,79,87,89,79,76,81,88
61,78,92,76,84,76,72,76,92,88,0
63,0,30,62,87,92,67,87,98,60,75
78,81,91,76,87,70,84,88,87,80,78
67,82,92,67,88,92,79,83,91,78,87
66,66,98,77,84,0,75,67,92,69,0
73,69,83,68,80,88,71,83,79,75,88
74,87,92,85,83,98,88,95,98,85,97
0,87,98,87,87,0,84,80,87,84,0
77,86,98,78,80,76,87,83,92,84,82
0,0,0,0,0,0,0,0,0,0,0
72,83,92,73,81,85,86,92,76,83,88
0,0,0,0,0,0,0,0,0,0,0
77,75,92,72,72,76,75,79,87,81,0
65,68,76,70,86,85,60,62,79,60,87
0,0,0,0,0,0,0,0,0,0,0
35,0,30,62,75,0,0,0,66,0,75
80,80,92,70,80,98,82,81,87,78,78
60,90,87,80,80,85,67,85,83,76,85
70,90,98,81,74,76,90,83,87,93,0
83,89,98,79,82,92,77,95,87,85,81
0,0,0,0,0,0,0,0,0,0,0
84,88,98,86,77,0,82,81,92,83,86
0,80,92,0,0,0,69,80,92,68,0
21,76,30,2,0,0,64,9,30,6,10
80,85,87,80,71,76,88,88,87,76,0
69,80,90,73,78,83,63,85,87,78,80
60,78,92,81,69,76,62,70,83,74,67
72,78,92,78,74,76,76,85,87,68,91
60,64,92,61,79,92,70,87,83,60,81
84,72,83,69,84,92,71,95,70,78,81
61,78,92,76,73,83,87,79,87,71,62
60,70,70,64,71,76,65,81,66,78,10
69,70,85,68,78,83,65,70,85,77,74
74,74,92,82,66,92,83,95,83,79,95
60,60,79,72,80,85,69,70,76,62,87
76,82,94,76,80,92,72,83,88,60,77
61,80,87,76,73,83,62,80,89,76,77
78,84,92,79,76,62,81,90,83,75,85
73,60,92,60,85,83,66,83,83,70,0
69,73,92,80,82,0,60,77,87,70,0
65,76,87,73,90,87,74,95,98,75,75
66,80,98,75,85,0,81,86,79,72,0
67,61,92,71,79,76,66,87,87,61,71
78,88,83,85,76,76,75,76,87,92,94
60,74,76,60,84,92,86,85,85,61,75
68,85,86,65,85,70,61,79,85,81,81
78,88,62,82,71,76,80,70,79,79,60
84,85,92,85,85,0,95,81,87,87,0
0,0,0,0,0,0,0,0,0,0,0
