形式语言与编译,操作系统原理i,操作系统设计专题实验,数据库系统,编译器设计专题实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理
65,80,92,70,85,73,98,87,75
81,84,92,84,71,93,82,87,75
65,92,62,75,70,78,98,66,75
0,90,92,84,85,85,95,92,75
66,75,98,73,74,80,94,92,75
65,81,92,84,82,82,95,87,75
64,86,88,71,92,68,70,83,75
82,74,87,75,77,78,95,79,75
79,81,95,76,93,73,90,92,75
76,75,87,79,81,66,80,90,75
62,76,92,78,81,75,83,87,75
65,83,92,66,81,85,83,92,75
72,78,91,74,85,66,80,92,75
62,69,87,60,79,88,62,76,75
75,85,98,83,86,81,98,87,75
79,76,98,70,87,74,92,83,75
84,75,87,76,71,76,59,92,75
72,84,87,77,88,77,98,92,75
80,83,92,83,80,83,81,87,75
73,69,83,68,80,71,83,79,75
78,84,92,79,76,81,90,83,75
65,76,87,73,90,74,95,98,75
71,71,70,68,85,74,79,76,75
66,85,90,62,82,73,81,85,75
77,83,92,72,87,88,79,73,75
72,80,87,74,80,67,95,73,75
61,77,88,65,87,61,75,85,75
77,87,83,80,89,88,79,76,75
64,76,92,72,76,72,92,79,75
67,66,92,67,76,74,79,76,75
72,87,98,70,90,79,98,83,74
89,96,98,88,88,90,98,92,74
66,86,92,69,79,87,83,92,74
67,82,83,72,70,76,95,92,74
61,87,92,81,73,68,77,87,74
71,78,93,77,80,77,79,86,74
73,83,92,83,85,76,98,92,74
81,80,95,68,80,81,90,91,74
69,76,92,87,69,81,87,87,74
85,80,87,83,77,69,72,73,74
67,83,98,69,79,80,83,98,74
69,86,92,81,82,74,80,87,74
70,64,92,73,77,67,90,87,74
90,77,83,76,77,79,95,87,74
60,78,92,81,69,62,70,83,74
73,80,70,80,76,75,73,87,74
60,73,93,65,79,63,85,87,74
61,86,89,66,79,68,80,87,74
77,72,92,79,85,79,100,92,74
63,78,92,70,79,76,83,76,74
72,73,30,0,96,76,0,73,74
77,82,98,89,82,87,83,87,73
0,78,98,81,96,68,96,87,73
83,80,93,77,80,77,82,86,73
87,81,86,73,70,79,63,90,73
85,75,87,86,86,71,81,87,73
74,83,98,76,90,83,98,92,73
67,84,92,76,83,85,83,92,73
67,93,93,75,80,75,85,91,73
89,82,98,85,82,77,77,92,73
60,76,30,66,81,40,0,70,73
90,79,87,86,77,71,87,87,73
67,74,92,78,80,68,85,92,73
64,79,92,76,91,74,79,79,73
63,68,92,74,78,72,95,87,73
93,84,92,77,70,77,95,79,73
66,85,98,72,82,79,92,92,73
60,75,92,70,82,78,83,92,73
68,85,92,72,78,69,79,73,73
80,66,87,81,74,70,73,87,73
64,60,87,71,70,62,66,87,73
62,69,92,70,74,60,95,76,73
0,74,92,67,0,83,83,92,73
74,83,83,65,79,66,80,75,73
77,84,98,79,77,90,83,92,72
72,87,98,68,92,76,70,79,72
51,83,92,77,80,71,70,87,72
71,88,98,64,85,81,87,87,72
72,84,92,78,90,72,85,98,72
86,87,92,78,78,80,95,83,72
65,61,92,67,83,73,83,92,72
73,69,66,72,67,77,95,87,72
68,71,92,60,75,70,81,92,72
83,84,92,85,80,75,71,98,72
79,82,83,81,72,86,75,92,72
66,80,98,75,85,81,86,79,72
74,83,98,74,91,82,88,92,72
65,88,66,66,77,74,75,73,72
66,69,92,71,75,74,83,87,72
74,78,92,84,89,83,92,76,72
62,83,92,73,88,86,76,87,72
60,72,73,63,80,60,88,81,72
83,82,79,77,85,71,83,86,71
69,82,83,67,78,64,79,87,71
71,85,92,74,85,85,79,87,71
90,87,98,79,82,87,80,92,71
75,80,92,81,90,72,95,83,71
75,77,87,79,76,73,97,98,71
73,81,92,78,79,87,83,87,71
73,86,83,78,83,72,72,87,71
75,83,98,81,85,78,83,92,71
0,89,98,79,82,79,81,83,71
75,70,87,61,66,73,72,62,71
61,78,92,76,73,87,79,87,71
78,76,87,84,78,69,80,87,71
0,84,92,79,76,81,84,87,71
64,78,92,77,80,73,83,98,71
60,62,92,71,87,60,87,83,71
60,72,92,80,81,76,70,83,71
73,81,92,71,82,66,83,79,71
45,0,0,39,0,0,0,0,71
0,0,0,0,0,0,0,0,71
83,86,93,74,83,83,90,90,70
77,87,92,82,94,85,83,76,70
80,87,87,72,68,87,100,83,70
63,74,92,72,79,87,79,87,70
76,77,96,70,85,60,65,88,70
79,78,98,79,82,84,84,92,70
85,73,92,77,83,86,87,92,70
77,69,87,70,92,64,75,87,70
70,80,86,62,90,63,65,85,70
83,78,92,82,82,89,82,87,70
73,60,92,60,85,66,83,83,70
69,73,92,80,82,60,77,87,70
72,75,89,66,71,69,72,85,70
0,77,76,68,73,70,88,76,70
60,82,92,66,79,78,83,92,70
69,85,92,70,80,84,79,76,70
72,60,79,71,73,69,88,70,70
64,88,92,81,80,84,95,98,70
51,71,76,72,80,60,75,83,70
80,85,87,83,83,74,88,87,70
75,63,92,69,79,84,79,73,70
65,78,70,66,78,60,62,73,70
67,86,92,78,88,87,98,87,69
80,60,92,76,77,76,95,87,69
70,83,98,81,87,89,83,76,69
73,71,92,74,76,76,79,76,69
74,90,96,78,80,84,89,92,69
67,76,92,71,87,85,87,87,69
65,88,83,70,88,73,71,86,69
54,74,73,0,80,62,35,30,69
77,75,83,83,81,79,70,79,69
60,71,92,62,77,63,83,98,69
72,78,92,78,76,68,77,87,69
64,77,92,76,77,69,79,87,69
65,82,88,67,80,68,77,86,69
60,77,76,60,76,60,70,76,69
66,66,98,77,84,75,67,92,69
60,67,87,71,79,84,83,87,69
61,82,83,77,77,82,84,88,69
60,60,30,0,0,78,74,73,69
69,73,98,76,82,80,83,87,68
77,83,92,78,86,88,79,83,68
72,84,79,80,85,78,85,76,68
76,80,92,73,88,86,83,92,68
67,71,87,76,65,76,95,76,68
75,86,96,75,79,66,80,86,68
88,81,98,86,89,87,85,87,68
60,83,92,79,87,82,87,98,68
65,84,62,70,82,88,79,87,68
75,77,89,65,80,66,79,87,68
70,77,87,66,82,68,80,87,68
68,88,83,76,87,84,79,76,68
0,80,92,0,0,69,80,92,68
72,78,92,78,74,76,85,87,68
74,78,95,72,83,62,90,92,68
66,72,92,73,84,70,70,87,68
61,83,92,69,70,81,62,76,68
61,67,92,74,79,75,98,92,68
63,66,83,61,76,64,95,83,68
60,65,92,67,89,60,70,76,68
72,78,87,75,74,61,83,87,68
70,60,83,62,65,62,95,66,68
20,37,30,20,0,20,70,70,68
70,69,92,76,85,71,79,98,67
69,77,92,72,91,80,87,98,67
71,85,92,77,78,73,88,92,67
64,82,92,71,80,75,83,98,67
65,83,92,70,80,65,89,95,67
67,70,92,78,87,79,76,87,67
62,67,92,77,80,77,83,98,67
63,63,79,76,75,61,79,92,67
60,85,92,76,81,88,87,87,67
68,74,78,67,79,60,69,85,67
93,74,87,76,87,67,95,87,67
81,88,98,78,96,85,98,83,67
76,77,87,81,66,71,95,87,67
63,72,92,65,88,73,92,92,67
60,80,76,81,78,67,79,73,67
62,62,92,70,77,61,79,83,67
76,74,70,70,72,65,95,66,67
64,60,73,63,71,76,68,73,67
62,75,83,66,78,63,65,83,67
60,80,83,68,80,79,68,86,67
0,0,0,0,0,0,0,0,67
66,64,92,61,82,63,98,83,66
61,80,98,77,97,78,79,87,66
62,79,92,75,78,71,83,87,66
61,78,92,70,85,69,83,98,66
84,67,98,83,94,62,85,87,66
61,69,92,73,71,76,76,92,66
66,83,92,79,80,71,95,83,66
60,75,98,71,91,70,79,76,66
86,81,83,84,87,78,67,87,66
64,0,0,0,74,0,0,87,66
77,90,87,78,73,63,88,87,65
75,74,79,77,80,84,95,87,65
61,82,98,69,84,83,87,83,65
61,65,71,67,85,61,65,86,65
60,68,92,68,85,64,79,76,65
63,73,92,68,80,74,83,87,65
84,77,87,71,66,82,95,76,65
66,68,94,60,80,68,78,86,65
69,74,87,70,71,68,88,87,65
57,61,83,68,70,53,76,92,65
55,61,30,61,64,29,30,62,65
60,75,92,65,89,74,85,87,64
63,83,98,60,85,79,98,87,64
65,63,62,73,85,67,73,87,64
85,89,98,92,66,90,100,92,64
61,74,79,76,69,66,95,76,64
64,70,92,72,91,84,83,76,64
60,67,92,60,85,62,83,83,64
60,65,79,70,74,72,95,83,64
72,72,98,71,80,75,70,87,64
75,66,83,68,79,68,83,87,64
73,64,62,67,73,60,92,92,64
60,79,81,65,86,60,78,88,64
60,74,83,62,79,72,62,87,64
65,60,83,69,78,60,83,76,64
0,0,30,60,0,60,62,30,64
78,0,0,0,82,0,0,87,64
62,70,30,81,65,67,60,84,64
77,76,75,68,70,69,69,83,63
60,78,92,60,80,64,83,87,63
63,87,98,80,85,60,96,91,63
71,67,87,77,82,60,70,76,63
61,85,87,71,84,72,85,87,63
61,72,98,75,80,68,79,92,63
61,74,87,60,80,63,78,85,63
47,55,87,62,79,42,77,83,63
74,76,98,81,91,62,83,79,63
60,63,92,66,81,63,83,92,63
72,60,86,67,80,64,83,86,63
61,75,92,69,81,73,83,92,62
71,80,91,67,82,61,70,88,62
77,83,92,67,80,70,100,83,62
81,60,92,68,86,66,95,83,62
60,61,98,60,82,64,83,76,62
60,60,79,72,80,69,70,76,62
80,83,92,67,82,62,60,83,62
63,66,83,74,65,67,95,83,62
66,74,30,63,83,60,85,96,62
69,60,62,66,82,63,88,76,62
69,0,0,69,76,0,0,0,62
72,66,83,60,6,60,27,62,61
69,75,98,67,83,85,79,87,61
70,70,75,75,71,63,68,87,61
74,83,87,73,74,65,78,87,61
79,67,98,74,94,73,80,87,61
67,61,92,71,79,66,87,87,61
60,74,76,60,84,86,85,85,61
60,69,92,63,81,64,83,66,61
71,61,70,63,73,47,66,87,61
62,83,92,68,87,76,70,76,61
60,85,92,70,76,66,87,92,61
62,63,92,60,85,78,83,87,61
60,61,90,61,79,71,72,84,61
69,77,70,70,83,83,73,92,61
63,69,73,62,73,70,79,92,61
62,69,92,69,75,63,83,87,61
76,65,62,60,70,60,75,73,61
74,0,75,67,70,70,69,85,61
87,90,98,88,89,90,98,92,60
79,60,60,84,79,60,60,87,60
70,60,92,82,79,60,79,92,60
71,87,92,87,79,60,76,87,60
74,68,98,61,84,73,95,87,60
70,60,60,77,84,60,60,98,60
67,67,83,76,82,70,88,87,60
63,66,87,80,0,80,83,87,60
61,82,92,81,85,68,100,76,60
80,79,85,63,85,86,69,85,60
64,79,87,60,86,72,85,83,60
72,78,80,81,82,68,80,90,60
60,61,30,67,77,60,60,87,60
66,78,80,67,79,60,75,85,60
69,78,76,66,84,58,80,79,60
63,0,30,62,87,67,87,98,60
65,68,76,70,86,60,62,79,60
60,64,92,61,79,70,87,83,60
76,82,94,76,80,72,83,88,60
69,66,83,75,83,74,76,66,60
86,71,79,75,82,47,72,87,60
69,76,84,70,82,64,75,90,60
65,75,76,75,80,71,60,70,60
63,71,92,71,80,67,79,79,60
33,60,83,46,80,62,79,76,60
70,67,83,67,89,63,78,90,60
60,71,98,68,78,60,83,92,60
74,70,83,75,80,74,79,76,60
73,75,87,79,71,80,95,76,60
60,66,98,74,79,80,83,76,60
60,72,79,60,79,64,75,86,60
63,63,83,65,74,65,70,73,60
60,78,83,70,84,60,78,85,60
62,82,70,75,80,60,70,88,60
60,62,73,71,80,69,62,73,60
71,62,83,63,75,62,83,83,60
60,68,83,61,75,68,79,73,60
71,69,83,67,78,75,79,87,60
72,63,66,70,67,60,92,73,60
62,82,79,60,65,61,62,85,60
60,78,68,60,80,65,77,86,60
61,73,65,63,80,60,75,86,60
60,60,73,61,80,60,65,83,60
21,43,64,66,82,60,79,82,60
60,73,76,68,67,71,66,83,60
64,68,72,62,84,77,71,87,60
