大学物理II-2,大学物理实验I-1,操作系统设计专题实验,数字逻辑电路,概率统计与随机过程,电路,离散数学a,线性代数与解析几何
83,92,0,76,73,81,86,90
85,85,88,79,74,81,78,87
81,87,92,84,80,81,75,75
0,87,98,91,74,81,89,82
0,92,87,76,75,81,74,70
88,83,94,78,87,81,92,94
74,65,98,71,68,81,70,80
0,87,87,70,60,81,74,78
83,83,92,79,75,81,84,80
0,0,0,89,0,81,0,0
86,87,92,72,78,81,87,82
76,92,83,60,77,80,78,85
81,92,0,72,67,80,84,65
79,83,70,84,66,80,89,81
73,89,79,75,77,80,67,82
0,83,87,67,79,80,81,88
0,92,92,70,73,80,83,74
81,86,94,61,71,80,92,90
69,81,92,80,78,80,80,60
83,83,62,69,78,80,77,75
90,89,98,82,73,80,84,77
91,92,83,82,76,80,82,89
88,87,80,85,77,80,81,74
0,87,87,69,71,80,79,77
0,92,87,83,83,80,83,83
84,84,92,83,91,80,85,85
69,86,98,82,73,80,72,76
93,98,92,73,77,80,93,82
93,84,90,85,93,80,91,92
82,85,92,87,80,80,86,85
85,83,0,73,79,80,75,93
84,0,92,77,82,80,83,67
88,84,92,63,96,80,78,96
81,0,92,84,87,80,74,91
91,98,0,77,93,80,91,92
0,83,92,68,69,80,73,89
87,87,92,88,85,80,88,0
87,87,92,76,74,80,60,78
82,84,93,70,82,80,85,88
89,87,0,71,75,80,85,80
89,91,92,83,85,80,91,89
88,87,98,73,80,80,87,95
78,0,61,67,71,80,80,92
94,98,98,89,78,80,88,89
94,87,0,75,91,80,92,90
77,80,68,74,62,80,71,84
73,79,83,60,68,80,75,80
78,92,92,77,81,80,87,76
90,92,0,79,91,80,91,96
86,87,92,85,82,80,80,87
0,92,92,71,80,80,71,91
86,0,30,0,0,80,82,0
62,80,98,63,80,80,69,80
84,87,92,80,88,80,87,79
85,87,87,91,86,79,88,96
87,87,87,68,66,79,86,81
87,83,0,80,88,79,85,94
89,89,92,71,81,79,66,80
86,87,0,75,75,79,87,84
62,81,30,23,70,79,73,78
82,85,92,71,68,79,80,78
74,82,76,68,73,79,72,71
88,87,0,78,73,79,78,91
76,87,0,63,75,79,82,81
0,87,0,76,89,79,78,88
89,83,0,76,80,79,83,85
73,81,92,70,77,79,68,79
86,76,98,76,84,79,84,83
87,87,98,74,82,79,95,80
81,81,92,74,66,79,86,92
88,83,0,78,77,79,90,92
89,87,87,83,69,79,82,90
77,87,92,90,79,79,79,92
0,92,92,73,73,79,83,93
84,98,87,80,76,79,93,87
78,84,92,76,73,79,66,81
82,98,76,71,71,79,80,86
74,73,98,80,73,79,87,92
0,79,98,63,76,79,65,96
86,87,92,83,64,79,80,96
82,87,92,69,67,79,84,83
93,87,0,87,80,79,90,94
85,98,98,87,94,78,88,94
80,87,98,89,80,78,77,80
86,87,76,84,66,78,91,85
0,87,98,68,76,78,69,74
75,92,83,60,55,78,64,80
81,83,92,68,87,78,72,94
81,92,87,86,74,78,90,90
70,0,87,76,66,78,83,70
74,83,87,78,73,78,91,86
0,92,92,79,60,78,78,85
80,86,98,85,93,78,85,96
85,81,92,69,78,78,69,81
81,79,84,81,86,78,81,93
87,87,92,84,72,78,82,91
86,92,92,73,62,78,79,85
89,98,0,87,96,78,83,96
70,82,73,67,61,78,61,73
81,83,92,73,77,78,89,88
0,92,92,79,87,78,89,98
61,88,92,61,70,78,73,64
80,0,0,80,0,78,0,0
83,83,92,80,70,78,85,80
87,0,92,0,0,78,84,0
85,85,88,74,82,78,78,87
85,87,98,60,68,78,79,75
90,83,98,86,75,78,81,74
92,86,87,85,91,77,72,93
92,98,98,81,72,77,86,73
80,88,92,85,68,77,68,80
77,92,98,79,90,77,93,92
80,83,83,84,78,77,83,91
0,87,0,78,72,77,86,91
80,88,95,76,82,77,88,83
69,85,92,71,78,77,85,93
91,79,0,69,71,77,81,93
76,83,98,86,66,77,72,82
76,80,98,80,80,77,72,69
0,87,92,79,60,77,78,85
90,92,0,75,95,77,86,95
67,85,93,65,78,77,82,83
88,83,92,83,71,77,74,84
89,87,92,70,74,77,75,81
89,83,97,89,88,77,69,72
83,91,83,76,66,77,62,76
70,89,90,70,71,77,82,84
88,79,83,82,88,77,77,80
82,83,95,65,62,77,66,85
82,83,0,70,55,77,75,83
80,92,92,75,72,77,80,69
79,83,92,70,75,77,78,79
84,87,92,81,86,77,91,85
84,83,87,79,81,77,85,93
83,90,92,80,87,77,82,75
73,87,0,82,69,77,78,87
85,87,91,68,73,77,90,94
73,85,93,82,80,77,82,81
91,98,0,78,90,77,88,95
86,83,0,87,81,77,82,80
83,87,92,90,77,76,89,0
81,87,98,81,70,76,80,90
85,83,0,81,77,76,92,79
60,88,98,70,77,76,68,60
80,75,92,70,90,76,86,99
73,87,98,73,71,76,78,77
63,88,92,71,71,76,64,61
74,81,83,69,60,76,72,43
92,83,0,87,90,76,88,87
82,79,0,78,82,76,83,93
73,84,92,71,81,76,72,81
65,87,87,61,60,76,72,75
64,82,92,78,66,76,74,74
72,81,70,62,71,76,80,91
80,82,83,88,76,76,72,60
93,83,92,90,78,76,89,0
82,87,92,73,72,76,81,85
67,87,92,74,62,76,72,66
78,87,98,74,62,76,75,68
82,84,93,79,81,76,95,94
95,87,94,83,90,76,99,96
76,92,30,62,46,76,70,85
85,85,87,65,69,76,84,71
90,86,98,89,83,76,86,95
62,0,0,27,26,76,62,12
76,87,87,83,74,76,67,83
87,87,87,90,70,76,81,86
81,0,83,82,77,76,84,86
94,98,0,82,86,76,91,90
65,76,92,77,72,76,77,60
88,82,98,81,86,76,92,0
94,83,0,72,84,76,85,90
70,89,92,70,81,76,69,87
93,98,0,76,97,76,89,90
95,87,92,78,88,75,88,0
90,82,79,84,78,75,81,85
84,78,86,81,86,75,85,95
81,80,98,76,92,75,78,75
83,87,0,72,75,75,86,87
89,98,92,85,79,75,92,84
82,84,95,69,71,75,78,82
92,87,0,76,82,75,91,93
81,92,0,92,83,75,91,92
76,86,98,69,75,75,74,79
83,83,92,90,83,75,81,87
82,92,92,70,63,75,77,84
0,73,0,0,59,75,60,71
79,83,0,68,82,75,76,86
73,84,98,80,82,75,80,84
77,87,83,71,73,75,79,81
91,87,0,77,82,75,89,89
79,86,92,80,71,75,83,86
76,92,98,83,80,75,76,74
74,85,72,80,85,75,72,78
83,83,92,70,73,75,86,88
68,85,70,72,60,75,74,82
71,82,85,60,72,75,60,86
88,87,92,84,84,75,85,0
77,92,79,80,75,75,81,90
88,0,98,70,77,75,94,0
0,79,92,80,78,74,84,80
0,0,87,62,63,74,80,0
73,83,0,52,38,74,60,91
81,87,79,64,70,74,78,0
0,83,83,74,71,74,89,75
78,85,92,86,81,74,81,75
0,87,98,87,82,74,80,75
85,92,73,76,74,74,89,0
71,73,92,72,87,74,75,85
0,92,98,79,86,74,77,88
96,98,0,82,93,74,80,85
86,83,98,81,82,74,60,81
76,76,86,73,83,74,89,92
0,83,87,64,78,74,76,89
0,87,30,65,77,74,67,85
66,87,92,85,82,74,88,90
91,92,83,76,80,74,85,94
76,79,70,78,61,74,81,0
87,80,92,72,83,74,84,88
94,83,87,84,79,74,84,90
78,90,94,74,75,74,80,68
80,84,92,87,81,74,87,83
81,92,98,65,74,74,73,77
78,0,70,73,71,74,92,82
93,98,0,79,91,74,91,99
78,79,88,80,84,74,79,95
73,79,84,60,70,74,60,76
62,78,92,71,85,74,83,76
0,0,30,48,0,73,0,0
69,80,83,77,63,73,63,60
60,80,98,70,70,73,69,84
87,92,0,83,87,73,86,95
83,87,98,82,80,73,88,67
90,92,0,77,87,73,77,76
87,98,98,88,88,73,89,94
84,92,0,92,85,73,88,94
83,98,76,68,61,73,71,76
87,83,0,85,78,73,87,95
77,89,98,76,88,73,90,76
78,83,92,87,67,73,92,79
74,83,92,93,75,73,92,78
82,92,87,72,80,73,79,86
84,92,0,87,80,73,77,93
89,88,94,74,82,73,81,88
81,92,0,77,87,73,88,92
0,0,83,70,0,73,76,0
73,76,86,67,78,73,69,90
91,87,92,85,82,73,68,74
76,92,0,86,80,73,86,91
77,92,92,75,82,73,82,78
89,92,87,85,67,72,76,85
87,86,95,72,79,72,79,94
69,81,92,86,65,72,72,64
66,83,73,61,60,72,72,81
84,87,83,87,67,72,80,85
79,86,75,67,81,72,91,99
77,89,86,70,79,72,82,92
85,83,83,80,71,72,76,82
61,83,92,68,63,72,65,71
0,98,98,81,81,72,83,87
61,80,92,75,60,72,64,71
97,83,92,60,60,72,60,67
80,80,83,64,60,72,78,85
68,80,92,66,67,71,72,84
61,85,92,78,60,71,80,77
84,87,92,87,70,71,90,65
91,87,0,0,67,71,73,87
70,87,86,69,71,71,64,78
75,80,92,79,68,71,80,85
0,0,0,79,0,71,0,0
67,84,92,87,62,71,61,64
81,98,92,72,73,71,81,83
87,83,98,86,80,71,80,85
80,92,92,65,66,71,78,80
71,87,0,74,84,71,82,90
60,87,83,71,60,71,76,86
75,87,87,92,73,71,70,0
87,86,98,80,75,71,83,0
95,87,0,77,84,71,82,92
62,86,98,70,73,71,72,84
77,87,62,75,78,71,72,85
78,87,98,71,68,71,67,84
61,76,30,72,61,71,84,78
0,83,0,64,92,71,91,92
80,87,94,71,79,71,78,86
83,83,87,82,82,71,77,82
0,87,92,80,61,71,83,71
61,80,80,60,76,71,74,67
0,92,0,64,80,71,92,93
77,88,92,81,72,70,74,84
87,83,0,78,85,70,77,85
90,86,76,66,72,70,76,69
84,83,0,68,61,70,81,81
85,87,0,72,84,70,85,93
74,92,92,0,0,70,81,88
76,75,93,65,64,70,83,65
85,80,77,80,81,70,86,93
63,92,79,62,70,70,81,68
80,84,96,66,84,70,85,89
77,85,92,75,68,70,71,83
80,82,92,74,64,70,80,80
0,92,92,77,81,70,80,76
87,83,92,77,83,70,87,68
83,77,83,71,65,70,60.5,0
77,83,30,40,55,70,79,60
75,87,92,61,65,70,81,82
84,86,91,78,85,70,70,93
73,90,79,70,76,70,75,78
64,85,92,76,61,70,66,78
80,0,0,67,0,70,0,0
78,0,0,76,0,70,0,0
79,82,98,73,83,70,77,72
89,98,92,78,83,70,90,92
30,86,81,60,35,70,60,62
70,92,92,69,66,70,70,65
71,77,88,73,67,70,60,72
78,83,93,67,83,70,60,81
76,87,0,67,73,69,74,86
78,87,0,70,95,69,83,85
85,92,0,81,93,69,88,91
81,79,92,84,68,69,71,86
81,98,98,75,75,69,80,78
84,87,98,69,72,69,79,90
72,87,76,60,62,69,73,86
69,83,79,69,61,69,65,93
66,81,92,77,67,69,68,73
68,0,66,83,65,69,74,78
83,83,92,75,79,69,62,66
74,84,92,86,80,68,75,78
63,92,92,71,71,68,83,84
66,87,92,80,78,68,64,65
84,87,0,80,64,68,80,83
76,83,87,61,78,68,63,71
60,80,92,67,80,68,69,69
76,86,92,87,75,68,68,69
88,98,0,66,62,68,79,76
81,98,0,76,71,68,89,85
76,84,92,60,73,68,69,61
67,79,87,73,64,68,73,73
61,76,87,73,62,68,72,68
81,87,0,86,76,68,71,80
75,88,98,73,63,68,78,84
88,98,0,82,86,67,75,92
60,85,92,74,74,67,79,71
83,87,92,87,71,67,70,79
90,92,0,83,72,67,85,79
67,85,90,61,63,67,60,76
81,87,70,60,63,67,77,89
80,87,87,67,83,67,89,71
0,0,0,76,0,67,0,0
75,86,90,72,77,67,78,92
89,98,0,62,85,67,84,83
75,0,0,78,0,67,0,0
72,86,92,79,70,67,73,90
71,83,0,0,69,67,78,76
82,89,92,69,68,67,77,75
71,87,83,61,60,67,71,76
83,83,98,80,92,67,75,96
79,92,83,77,64,67,77,82
60,83,92,64,67,67,65,72
63,73,83,60,60,67,70,62
0,0,0,61,0,66,0,0
82,87,87,84,79,66,76,70
0,0,0,81,0,66,0,0
67,83,30,80,73,66,71,80
78,92,87,83,75,66,86,83
88,87,0,75,83,66,82,85
80,85,73,65,64,66,73,83
75,82,83,72,71,66,70,74
60,84,92,61,71,66,62,64
77,92,98,64,74,66,81,68
71,92,0,75,64,66,71,84
83,92,76,0,74,66,87,85
81,87,92,90,69,66,85,87
78,83,0,79,69,66,63,91
80,83,87,69,75,65,73,64
77,84,87,62,71,65,69,76
91,83,98,76,86,65,76,94
81,79,92,74,67,65,76,85
85,91,92,66,92,65,63,89
78,92,98,91,90,65,79,87
78,92,0,78,88,65,87,90
76,92,87,61,64,65,76,81
67,86,92,74,62,65,70,79
65,0,30,0,0,65,60,0
64,0,62,67,52,65,78,70
70,79,0,79,61,65,86,96
60,88,98,65,67,64,72,71
72,83,72,66,60,64,68,60
72,84,91,74,76,64,83,78
85,82,83,70,63,64,61,68
69,83,70,71,64,64,75,84
81,80,30,76,32,64,56,66
0,0,0,30,0,64,0,0
78,83,90,64,72,64,64,91
70,83,92,74,75,64,80,84
0,0,0,62,0,64,0,0
71,83,92,80,82,64,69,83
88,87,0,0,0,64,72,96
66,85,92,75,79,64,62,73
75,92,0,82,72,63,78,86
88,98,0,70,81,63,91,84
61,81,83,61,65,63,69,81
71,76,0,79,61,63,73,89
70,92,92,68,61,63,69,74
77,83,0,89,78,63,64,83
63,81,89,75,77,63,69,79
69,67,66,63,63,63,67,60
82,87,0,69,71,63,81,76
64,79,79,60,62,63,62,82
63,82,83,69,67,63,76,70
82,92,0,46,61,63,68,95
0,92,30,52,72,63,74,81
83,83,0,67,76,63,76,92
71,86,98,69,75,63,69,84
65,0,92,60,72,63,70,86
63,85,94,61,62,63,61,72
72,92,92,71,63,63,69,73
65,85,92,79,63,63,77,75
0,0,0,66,0,63,0,0
73,82,90,68,61,63,90,88
85,87,0,68,67,63,77,90
68,87,62,74,63,62,70,84
91,0,0,62,90,62,30,93
65,76,92,60,71,62,63,75
72,86,79,87,66,62,60,64
69,76,73,75,60,62,70,73
70,76,83,74,67,62,80,86
60,81,92,60,75,62,78,60
73,98,0,54,42,62,66,78
66,82,88,67,73,62,69,81
66,77,92,63,62,62,69,63
62,87,92,69,61,62,72,62
83,87,87,84,66,62,79,0
77,87,87,63,51,62,66,90
66,61,62,68,60,62,67,88
60,83,92,69,60,62,60,79
0,0,84,72,0,62,0,0
75,81,89,73,64,62,72,84
60,83,30,67,73,62,78,75
70,87,83,77,72,62,87,83
68,82,98,62,66,61,90,69
68,87,66,66,79,61,66,81
75,82,78,72,74,61,62,79
66,88,98,67,63,61,61,66
69,82,92,69,80,61,65,78
75,88,92,69,62,61,63,63
74,85,92,63,76,61,82,88
0,0,92,0,0,61,0,0
60,81,92,60,64,61,62,68
74,82,87,64,67,61,72,79
91,75,83,68,64,61,63,63
78,90,0,74,61,61,74,73
61,83,92,78,64,61,83,71
82,84,90,83,81,61,83,88
68,90,92,73,63,61,73,77
60,86,92,77,60,61,69,67
76,76,83,60,60,61,60,78
67,88,87,66,75,60,75,71
70,82,30,82,60,60,69,75
0,0,30,60,45,60,76,70
74,80,81,79,61,60,60,61
68,79,98,67,83,60,68,64
63,84,96,81,79,60,67,70
0,0,75,60,0,60,0,0
80,98,83,0,84,60,72,82
70,0,0,60,0,60,0,0
73,86,76,67,63,60,73,87
78,85,98,79,60,60,71,75
62,81,76,60,71,60,83,70
74,84,92,60,68,60,90,88
75,87,83,61,61,60,63,60
74,83,62,47,45,60,63,0
73,85,65,85,61,60,63,69
88,83,83,61,88,60,92,70
0,0,66,63,0,60,0,0
65,0,64,62,61,60,0,38
76,80,92,80,81,60,72,85
86,84,77,60,67,60,65,86
82,87,87,60,74,60,77,92
72,85,92,69,73,60,86,78
60,79,70,21,32,60,42,61
78,78,92,62,65,60,69,62
63,87,83,60,54,60,83,87
65,81,92,62,65,60,63,70
52,81,83,60,68,60,63,61
50,84,98,71,71,60,77,70
68,80,79,60,76,60,76,64
62,81,79,65,60,60,75,71
58,84,92,72,60,60,66,60
62,86,86,66,60,60,66,60
74,79,92,64,60,60,63,73
0,0,63,60,0,60,62,0
60,90,83,69,73,60,80,88
73,87,62,60,47,60,64,67
74,79,30,62,0,60,68,69
62,79,92,71,61,60,72,60
63,75,83,60,67,60,64,63
87,92,98,70,75,60,81,77
85,92,0,35,32,59,73,91
74,98,0,78,65,58,77,88
49,92,0,70,54,56,64,61
70,87,30,49,61,56,61,75
69,87,0,0,63,55,74,64
51,81,86,62,31,55,53,75
68,83,30,79,72,54,70,86
60,86,92,62,63,53,73,62
51,83,83,55,51,52,60.8,63
34,83,44,28,30,52,41,60
0,0,71,60,70,51,60.5,0
0,87,0,52,56,50,60,90
77,76,0,0,0,50,85,90
54,76,30,63,40,50,74,74
63,92,83,61,52,49,60,61
64,90,0,62,49,49,69,67
68,90,0,0,41,46,60,82
67,87,0,64,26,44,69,93
68,78,70,67,40,42,60,60
60,83,62,61,15,40,64,70
35,83,30,10,14,40,47,60
60,79,0,50,48,33,54,64
0,44,44,0,0,28,48,34
24,83,69,20,21,20,28,31
20,70,30,0,0,20,20,32
0,0,0,0,0,19,0,0
42,83,30,0,35,11,62,64
42,76,30,28,17,10,61,80
0,98,0,0,0,0,0,93
0,83,0,0,0,0,63,86
0,92,0,0,0,0,0,93
0,98,0,0,0,0,0,100
0,92,0,0,0,0,0,92
0,83,0,0,0,0,0,98
0,98,0,0,0,0,0,99
0,98,0,0,0,0,0,97
0,87,0,0,0,0,0,93
0,98,0,0,0,0,0,90
0,98,0,0,0,0,0,95
0,92,0,0,0,0,0,96
0,83,0,0,0,0,0,84
0,92,0,0,0,0,0,99
0,83,0,0,0,0,0,87
0,83,0,0,0,0,0,88
0,98,0,0,0,0,0,84
0,83,0,0,0,0,0,99
0,92,0,0,0,0,0,71
0,0,0,0,0,0,0,60
0,87,0,0,0,0,0,95
0,98,0,0,0,0,0,94
0,83,0,0,0,0,78,77
0,87,0,0,0,0,0,96
75,83,0,66,64,0,75,93
0,79,0,0,0,0,0,76
0,83,0,0,0,0,0,89
0,87,0,0,0,0,0,94
0,92,0,0,0,0,0,87
0,98,0,0,0,0,0,86
0,83,0,0,0,0,0,100
0,87,0,0,0,0,0,85
0,83,0,0,0,0,0,92
0,87,0,0,0,0,0,94
0,83,0,0,0,0,0,75
0,0,0,0,0,0,0,0
0,87,0,94,0,0,0,0
0,92,0,0,0,0,0,97
0,87,0,0,0,0,0,98
0,92,0,0,0,0,0,98
0,98,0,0,0,0,0,87
0,92,0,0,0,0,0,94
0,76,0,0,0,0,0,64
0,92,0,0,0,0,0,80
0,92,0,0,0,0,0,95
0,30,0,0,0,0,0,68
0,83,0,0,0,0,0,84
0,83,0,0,0,0,0,98
0,87,0,0,0,0,0,98
0,83,0,0,0,0,0,95
0,92,0,0,0,0,0,94
93,89,98,93,94,0,94,98
0,98,0,0,0,0,0,94
96,30,0,60,77,0,0,83
0,0,98,0,70,0,0,0
0,98,0,0,0,0,0,97
0,87,0,0,0,0,0,62
0,87,0,0,0,0,0,82
0,87,0,0,0,0,0,99
0,92,0,0,0,0,0,83
0,79,0,0,0,0,0,84
97,76,0,60,70,0,0,75
0,87,0,0,0,0,0,91
0,87,0,0,0,0,0,91
0,83,0,0,0,0,0,84
0,98,0,0,0,0,0,84
0,87,0,0,0,0,0,94
0,92,0,0,0,0,0,95
0,87,0,0,0,0,0,88
0,79,0,0,0,0,0,88
0,92,0,0,0,0,0,96
0,87,0,0,0,0,0,99
0,92,0,0,0,0,0,92
0,87,0,0,0,0,0,96
0,79,0,0,0,0,0,87
0,87,0,0,0,0,0,89
0,98,0,0,0,0,0,97
0,83,0,0,0,0,0,94
0,83,0,0,0,0,0,95
0,98,0,0,0,0,0,72
0,92,0,0,0,0,0,96
0,83,0,0,0,0,0,93
0,0,0,0,0,0,0,100
0,87,0,0,0,0,0,76
0,79,0,0,0,0,0,85
0,92,0,0,0,0,0,88
0,83,0,0,0,0,0,62
0,98,0,0,0,0,0,96
0,79,0,0,0,0,0,97
0,87,0,0,0,0,0,94
0,87,0,0,0,0,0,92
0,98,0,0,0,0,0,95
0,87,0,0,0,0,0,84
0,98,0,0,0,0,0,99
0,87,0,0,0,0,0,85
0,92,0,0,0,0,0,84
0,0,0,0,0,0,0,0
0,83,0,0,0,0,0,77
0,82,0,68,0,0,82,78
0,0,83,89,0,0,0,0
0,0,0,0,0,0,0,0
0,87,0,0,0,0,0,100
0,92,0,0,0,0,0,75
0,92,0,0,0,0,0,74
0,98,0,0,0,0,0,93
0,92,0,0,0,0,0,85
0,87,0,0,0,0,0,79
0,92,0,0,0,0,0,84
0,98,0,0,0,0,0,85
0,92,0,0,0,0,0,86
0,87,0,0,0,0,0,89
0,87,0,0,0,0,0,82
0,98,0,0,0,0,0,96
0,87,0,0,0,0,0,99
0,83,0,0,0,0,0,90
0,92,0,0,0,0,0,70
0,92,0,0,0,0,0,78
0,83,0,0,0,0,0,94
0,87,0,0,0,0,0,84
0,92,0,0,0,0,0,82
0,87,0,0,0,0,0,86
0,87,0,0,0,0,0,99
0,87,0,0,0,0,0,83
0,92,0,0,0,0,0,92
0,98,0,0,0,0,0,96
0,86,44,55,51,0,70,68
0,87,0,0,0,0,0,77
0,92,0,0,0,0,0,60
0,98,0,0,0,0,0,97
0,87,0,0,0,0,0,89
0,87,0,0,0,0,0,92
0,87,0,0,0,0,0,84
0,92,0,0,0,0,0,90
0,87,0,0,0,0,0,95
0,92,0,0,0,0,0,99
0,98,0,0,0,0,0,90
0,92,0,0,0,0,0,83
0,87,0,0,0,0,0,81
0,92,0,0,0,0,0,98
0,87,0,0,0,0,0,96
0,92,0,0,0,0,0,91
0,83,0,0,0,0,0,96
0,0,0,0,0,0,0,0
0,92,0,0,0,0,0,90
0,92,0,0,0,0,0,100
0,87,0,0,0,0,0,94
0,92,0,0,0,0,0,94
0,83,0,0,0,0,0,93
0,92,0,0,0,0,0,90
0,83,0,0,0,0,0,81
0,87,0,0,0,0,0,84
0,87,0,0,0,0,0,86
0,0,0,0,0,0,0,0
0,30,0,0,0,0,0,64
0,87,0,0,0,0,0,84
0,92,0,0,0,0,0,94
0,83,0,0,0,0,0,60
0,76,0,0,0,0,0,90
0,92,0,0,0,0,0,99
0,87,0,0,0,0,0,95
0,0,0,0,0,0,0,29
0,98,0,0,0,0,0,85
0,87,0,0,0,0,67,60
0,87,0,0,0,0,0,83
0,98,0,0,0,0,0,99
0,92,0,0,0,0,0,92
0,83,0,0,0,0,0,99
0,92,0,0,0,0,0,93
0,92,0,0,0,0,0,86
0,87,0,0,0,0,0,88
0,92,0,0,0,0,0,100
0,98,0,0,0,0,0,75
0,79,0,0,0,0,0,60
0,92,0,0,0,0,0,88
0,87,0,0,0,0,0,94
0,92,0,0,0,0,0,92
0,83,0,0,0,0,0,88
0,87,0,0,0,0,0,100
0,92,0,0,0,0,0,89
0,83,0,0,0,0,0,85
0,87,0,0,0,0,0,81
0,79,0,0,0,0,0,79
0,87,0,0,0,0,0,99
0,98,0,0,0,0,0,100
0,98,0,0,0,0,72,60
0,98,0,0,0,0,0,91
0,83,0,0,0,0,0,98
0,87,0,0,0,0,0,90
0,87,0,0,0,0,0,70
0,87,0,0,0,0,0,98
0,98,0,0,0,0,0,98
0,83,0,0,0,0,0,93
0,92,0,0,0,0,0,96
0,83,0,0,0,0,0,74
0,98,0,0,0,0,94,97
0,92,0,0,0,0,0,91
0,98,0,0,0,0,0,93
0,98,0,0,0,0,0,89
0,87,0,0,0,0,0,96
0,98,0,0,0,0,0,91
0,87,0,0,0,0,0,96
0,76,0,0,0,0,0,98
0,92,0,0,0,0,0,95
0,98,0,0,0,0,0,95
0,92,0,0,0,0,0,96
0,30,0,0,0,0,0,74
0,0,0,0,0,0,0,97
0,79,0,0,0,0,0,82
0,98,0,0,0,0,0,88
0,87,0,0,0,0,0,100
0,0,0,0,0,0,0,0
0,92,0,0,0,0,0,99
0,83,0,0,0,0,0,90
