大学英语i,大学计算机iii,数理逻辑,模拟电子技术基础,汇编语言,软件工程
77,91,0,0,0,0
83,89,0,0,0,0
0,0,0,95,88,87
0,0,0,86,80,85
0,0,89,72,90,86
0,0,93,89,91,70
77,93,0,0,0,0
0,69,0,0,0,0
0,0,97,100,93,92
0,0,76,77,86,77
83,89,0,0,0,0
0,0,81,84,83,80
0,0,77,72,85,78
70,0,0,0,0,0
74,76,0,0,0,0
76,97,0,0,0,0
0,0,90,93,90,73
0,0,97,87,90,76
69,90,0,0,91,0
0,0,76,65,69,78
0,0,0,99,85,91
0,87,0,0,0,0
0,60,0,0,0,54
0,0,0,71,64,61
0,0,92,93,88,88
0,92,0,0,0,0
0,0,82,64,68,62
0,0,92,98,0,92
0,94,0,0,88,0
81,94,0,0,0,0
0,0,73,80,72,65
82,68,0,0,0,0
73,70,0,0,0,0
63,77,0,0,0,0
0,0,97,82,88,86
0,0,0,0,0,0
0,0,80,65,78,83
0,0,74,86,92,86
0,90,0,0,0,0
68,74,0,0,0,0
85,82,0,0,0,0
0,0,65,85,73,62
0,78,0,0,0,0
81,85,0,0,0,0
0,89,0,0,0,0
0,84,0,0,0,0
0,0,61,74,67,60
0,78,0,0,0,0
0,0,97,80,95,89
0,0,0,87,91,88
0,0,91,84,93,89
85,77,0,0,0,0
0,0,82,71,82,71
83,82,0,0,0,0
0,0,93,91,87,69
0,0,0,0,0,0
0,0,0,76,91,78
0,0,78,94,66,87
0,0,83,74,74,80
75,92,0,0,0,0
0,0,87,82,0,71
0,82,0,0,0,0
0,0,0,0,0,0
79,84,0,0,0,0
83,93,0,0,0,0
0,0,0,93,85,61
0,0,0,77,60,66
82,0,0,0,0,0
0,0,93,80,82,86
0,0,89,88,84,76
86,90,0,0,0,0
85,95,0,0,0,0
79,0,0,0,83,0
76,82,0,0,0,73
0,0,0,71,62,69
0,0,82,75,72,64
75,76,0,0,0,0
0,0,0,90,82,77
73,67,0,0,0,0
0,0,0,63,79,75
77,90,0,0,82,0
0,0,95,78,91,92
76,86,0,0,0,0
82,87,0,0,95,0
0,0,80,73,87,74
0,0,0,80,79,80
80,90,0,0,0,0
80,91,0,0,0,0
0,0,85,78,90,78
82,85,0,0,0,0
76,72,0,0,0,0
0,0,86,93,92,93
78,79,0,0,0,0
77,75,0,0,92,0
0,0,0,82,83,78
0,0,87,86,77,63
0,92,0,0,94,65
0,0,0,93,83,74
74,74,0,0,0,0
77,66,0,0,0,0
0,0,86,93,81,84
0,0,90,95,87,89
78,92,0,0,0,0
0,0,86,78,91,82
0,74,0,0,0,0
0,88,0,0,83,0
0,74,0,0,0,0
0,0,0,85,76,60
0,0,0,95,85,86
0,0,88,91,88,84
74,77,0,0,0,0
0,84,0,96,0,0
69,65,0,0,0,0
82,73,0,0,0,0
0,0,86,74,80,71
0,0,90,85,87,78
0,0,0,96,84,86
0,0,84,79,74,84
0,0,89,82,94,83
0,0,0,85,84,60
0,0,99,92,98,89
78,90,0,0,0,0
81,70,0,0,88,0
68,76,0,0,0,0
80,70,0,0,86,0
86,82,0,0,0,0
0,95,0,0,0,0
80,0,0,0,0,0
71,87,0,0,0,0
82,87,0,0,0,0
0,0,82,60,80,74
0,88,0,0,0,0
0,0,0,82,79,0
0,0,0,75,87,74
0,0,0,86,92,80
0,0,95,80,85,87
81,83,0,0,0,0
0,0,85,60,89,81
75,80,0,0,0,0
79,94,0,0,0,0
78,83,0,0,0,0
79,87,0,0,0,0
72,80,0,0,0,0
0,0,82,71,75,68
70,79,0,0,0,0
0,0,0,83,91,87
0,0,85,69,88,74
0,0,83,90,76,78
83,87,0,0,0,0
78,0,0,0,0,0
0,0,98,72,94,87
0,0,80,63,73,60
0,0,0,0,0,0
0,0,89,76,88,81
86,0,0,0,88,0
0,0,0,85,74,73
0,0,95,82,76,80
0,0,92,77,85,85
0,0,85,91,90,87
0,85,0,0,0,0
0,0,0,95,88,82
78,82,0,0,0,0
0,0,0,79,85,87
85,96,0,0,93,0
81,0,0,0,95,0
77,85,0,0,88,0
84,83,0,0,70,0
0,0,0,70,78,73
0,0,94,94,94,91
73,84,0,0,0,0
80,82,0,0,0,0
0,0,0,67,60,60
76,0,0,0,0,0
83,0,0,0,0,0
0,0,97,94,90,84
79,70,0,0,0,0
0,0,73,78,79,63
0,0,0,68,82,68
0,0,74,65,77,73
0,0,90,73,92,91
84,77,0,0,0,0
77,0,0,0,0,0
79,88,0,0,0,0
0,0,67,81,68,74
80,88,0,0,0,0
0,0,0,94,95,95
82,86,0,0,90,0
0,0,91,68,80,60
0,0,100,89,93,85
0,0,93,89,91,84
0,0,0,66,82,66
0,0,79,31,67,61
0,0,0,71,84,78
0,67,0,0,0,0
0,81,0,0,0,0
72,85,0,0,81,0
0,92,0,0,82,0
0,85,0,0,0,0
75,72,0,0,60,0
80,77,0,0,0,0
0,0,0,91,90,80
0,0,0,79,73,74
0,0,71,81,0,83
0,0,0,78,71,67
0,0,85,89,83,80
0,0,83,75,82,77
78,83,0,0,0,0
0,0,0,63,84,69
72,83,0,0,0,0
0,0,90,87,91,79
0,0,63,70,74,75
0,0,87,84,90,79
0,0,94,97,91,85
0,95,0,0,0,0
0,0,0,75,67,69
82,63,0,0,0,0
82,70,0,0,0,0
0,0,0,71,61,60
0,0,81,83,88,83
0,0,97,95,97,87
0,87,0,0,0,0
81,77,0,0,0,0
0,0,83,66,84,66
0,78,0,0,83,0
0,0,88,98,93,89
0,0,74,82,72,64
0,0,86,96,85,73
0,0,82,86,0,74
0,85,0,0,0,0
0,0,63,70,60,60
0,0,95,93,84,82
0,0,85,92,90,84
0,0,0,60,90,86
0,0,79,69,82,76
80,0,0,0,0,0
78,81,0,0,80,0
0,88,0,0,0,61
73,82,0,0,0,0
74,88,0,0,72,0
84,86,0,0,0,0
0,0,0,82,80,80
82,88,0,0,0,0
0,81,0,0,0,0
0,0,0,98,98,96
78,82,0,0,84,0
0,0,0,78,90,69
86,83,0,0,0,0
0,87,0,0,97,0
0,0,0,0,86,0
0,0,0,86,92,81
0,0,0,89,0,93
77,0,0,0,0,0
78,87,0,0,0,0
78,0,0,0,86,82
83,79,0,0,0,0
0,0,80,90,72,90
76,84,0,0,0,0
83,87,0,0,0,0
0,84,0,0,83,0
0,85,0,0,0,0
83,85,0,100,0,0
0,0,81,84,76,68
0,0,0,0,82,0
0,0,74,66,76,75
0,0,92,97,90,89
0,0,0,0,72,0
79,92,0,0,92,72
0,0,76,60,61,67
82,83,0,0,0,0
79,93,0,0,0,0
71,80,0,0,60,0
71,68,0,0,0,0
0,0,0,88,60,63
0,0,0,0,0,0
76,71,0,0,0,0
0,0,0,95,88,85
0,0,0,62,60,63
81,0,0,0,0,0
0,0,0,94,97,83
0,0,0,76,81,86
0,0,83,75,84,81
0,0,94,76,95,86
80,90,0,0,0,0
84,75,0,0,0,0
0,83,0,0,72,0
0,0,90,67,96,88
78,87,0,0,0,0
77,61,0,0,0,0
0,75,0,0,63,0
78,85,0,0,0,0
86,87,0,0,0,0
0,73,0,0,83,0
0,72,0,0,0,0
81,92,0,0,0,0
77,86,0,0,0,0
0,0,82,69,80,83
0,0,0,0,0,0
0,0,0,87,84,81
0,0,89,71,79,78
0,0,74,63,63,80
70,72,0,0,0,0
0,0,0,78,86,80
87,97,0,0,97,0
86,0,0,0,90,0
85,0,0,0,0,0
72,94,0,0,0,0
82,74,0,0,0,0
78,0,0,0,0,0
80,90,0,0,89,0
0,80,0,0,0,0
0,0,79,95,67,68
0,0,81,70,80,77
66,60,0,0,0,0
0,0,76,66,63,70
0,0,95,93,84,71
77,92,0,0,93,0
0,0,79,85,75,64
0,0,78,79,84,86
0,86,0,0,0,0
0,0,0,71,0,78
0,0,0,72,74,85
0,0,0,86,75,77
0,92,0,0,0,0
0,0,68,74,78,63
75,66,0,0,83,0
0,0,91,94,86,74
0,96,0,0,0,0
0,0,79,87,81,76
75,92,0,0,95,0
0,0,97,98,94,96
71,75,0,0,91,0
79,75,0,0,0,0
0,0,0,92,87,81
0,77,0,0,0,0
0,0,97,81,90,80
84,93,0,0,0,0
0,0,0,90,86,86
74,76,0,0,0,0
78,52,0,0,0,0
75,0,0,0,89,0
80,96,0,0,85,0
0,0,90,94,83,76
0,0,86,86,90,84
0,0,85,89,77,0
64,88,0,0,80,0
0,91,0,0,0,0
77,62,0,0,0,0
0,0,84,60,69,91
72,0,0,0,86,0
0,0,68,70,85,63
86,95,0,0,97,0
69,90,0,0,0,0
73,0,0,0,0,0
83,82,0,0,0,0
0,82,0,0,0,0
88,92,0,0,89,0
87,70,0,0,0,0
80,86,0,0,0,0
77,83,0,0,0,0
81,0,0,0,0,0
0,73,0,0,0,0
0,0,90,92,94,68
0,0,82,74,63,78
0,0,0,85,88,70
69,63,0,0,0,0
0,0,0,88,71,62
75,87,0,0,0,0
81,85,0,0,0,0
0,0,61,0,45,60
0,0,93,67,94,78
0,0,90,98,85,89
0,0,0,93,93,84
83,0,0,0,0,0
77,74,0,0,90,0
0,0,0,0,0,0
0,0,0,89,84,83
0,0,94,86,92,87
0,78,0,0,0,0
0,0,71,66,74,63
0,0,0,0,93,0
80,0,0,0,90,0
80,82,0,0,79,0
0,0,0,0,61,45
0,91,0,0,0,0
80,73,0,0,0,0
0,79,0,0,0,0
82,90,0,0,0,0
0,0,81,83,89,91
0,0,99,100,93,84
0,0,0,90,0,86
0,0,0,74,94,91
69,85,0,0,0,0
78,88,0,0,0,0
0,0,0,65,0,0
0,87,0,0,0,0
0,85,0,0,0,0
83,90,0,0,66,0
0,0,85,70,90,83
84,82,0,0,0,82
0,0,68,63,72,73
0,0,96,88,94,80
0,0,82,61,71,68
79,82,0,0,0,0
0,0,0,93,92,85
0,0,93,85,89,69
0,0,0,98,93,91
0,0,0,0,78,0
0,0,90,85,90,90
83,0,0,0,88,0
0,0,0,85,90,0
79,78,0,0,0,0
72,0,0,0,94,0
0,0,88,73,84,83
0,0,81,60,82,78
0,87,0,0,0,0
0,0,95,91,91,85
80,66,0,0,84,0
0,0,0,80,67,81
0,0,0,85,72,78
78,89,0,0,0,0
0,81,0,0,0,0
0,0,79,82,80,80
0,0,0,63,71,80
0,0,76,60,78,68
0,0,81,82,85,75
72,91,0,0,0,0
85,91,0,0,85,0
76,80,0,0,0,0
0,0,0,78,0,81
0,0,84,77,91,84
0,0,81,85,84,70
0,0,78,84,61,64
76,93,0,0,0,0
71,67,0,0,0,0
83,92,0,0,98,0
0,0,91,88,91,84
0,0,0,76,60,73
70,74,0,0,0,0
0,0,0,0,0,0
80,91,0,0,0,0
0,0,98,99,99,83
0,0,0,78,76,61
0,0,88,90,91,90
0,0,77,76,88,72
78,78,0,0,87,0
0,0,0,74,0,81
0,86,0,0,0,0
0,80,0,0,0,0
0,79,0,0,0,0
0,93,0,0,91,0
0,0,0,76,79,61
0,0,65,63,68,67
0,0,91,82,96,89
0,0,78,67,63,79
83,78,0,0,0,0
0,0,0,97,81,78
0,0,0,72,60,0
86,89,0,98,0,0
0,0,92,91,94,83
84,82,0,0,0,0
0,0,83,76,84,80
0,0,65,85,75,70
0,77,0,0,0,0
0,0,81,65,83,70
0,0,91,90,82,72
0,0,80,85,84,81
84,88,0,0,0,0
0,70,0,0,0,0
80,82,0,0,0,0
0,0,81,79,80,65
81,86,0,0,0,0
72,78,0,0,0,0
0,86,0,0,0,0
85,84,0,0,78,0
0,71,0,0,37,0
73,0,0,0,85,0
79,67,0,0,0,0
81,74,0,0,0,0
0,0,0,81,78,68
0,0,90,82,90,86
72,86,0,0,77,60
70,74,0,0,0,0
0,65,0,0,0,0
77,84,0,0,91,85
0,0,89,89,72,79
0,85,0,0,0,0
0,94,0,0,0,0
82,83,0,0,0,0
0,0,80,66,78,65
0,0,0,0,0,0
0,85,0,0,0,0
0,0,79,73,71,60
77,88,0,0,0,0
0,85,0,0,0,0
0,0,85,69,79,73
0,0,0,64,64,66
0,0,0,0,0,0
0,0,0,78,77,80
82,87,0,0,0,0
0,86,0,0,0,0
73,73,0,0,76,0
0,82,0,0,0,0
0,0,78,60,81,62
0,0,86,85,87,75
0,90,0,0,0,0
80,91,0,0,0,0
69,72,0,0,71,0
0,0,0,96,92,80
71,0,0,0,0,0
0,0,85,94,80,80
77,95,0,0,86,0
82,0,0,0,0,0
0,0,0,96,97,91
0,0,78,84,94,81
70,70,0,0,0,0
82,86,0,0,0,0
85,86,0,0,0,0
0,0,0,70,68,73
0,96,0,0,0,0
0,0,85,96,90,90
0,87,0,0,90,0
79,93,0,0,0,0
0,0,78,75,88,90
75,0,0,0,88,0
80,89,0,0,0,0
0,0,0,95,86,80
0,71,0,0,0,0
84,87,0,0,0,0
0,0,0,71,68,78
0,0,94,67,83,62
71,73,0,0,0,0
0,0,90,93,94,78
0,0,95,97,0,91
0,0,95,61,85,80
0,0,88,78,76,82
77,80,0,0,0,0
0,0,98,100,96,94
0,0,74,68,76,69
0,0,0,97,0,0
84,86,0,0,0,0
0,91,0,0,0,0
0,0,0,66,0,0
0,81,0,0,0,0
0,0,82,78,78,72
0,0,92,94,85,63
0,0,70,0,0,0
0,0,93,88,83,0
0,0,86,88,77,82
79,82,0,0,0,0
75,78,0,0,0,0
0,0,85,92,90,96
85,82,0,0,91,0
76,77,0,0,0,0
79,82,0,0,0,0
0,0,65,76,0,60
0,0,66,63,85,65
73,76,0,0,0,0
0,0,99,88,98,89
70,0,0,0,91,0
0,0,0,0,0,0
0,0,82,86,80,93
78,85,0,0,0,0
70,67,0,0,81,0
80,95,0,0,0,0
0,0,86,67,85,72
0,0,0,93,93,89
81,85,0,0,0,0
0,0,60.5,62,62,60
0,0,80,83,18,77
83,0,0,0,0,0
0,91,0,0,0,0
0,0,88,87,81,67
74,0,0,0,0,0
74,0,0,0,80,0
0,0,0,64,68,70
0,0,0,90,0,71
0,0,85,86,87,90
76,83,0,0,0,0
0,0,82,66,77,71
84,70,0,0,0,0
80,87,0,0,0,0
0,0,0,0,0,0
0,0,80,71,84,60
0,90,0,0,0,0
0,0,0,61,75,78
0,86,0,0,0,0
73,77,0,0,0,0
0,95,0,0,0,0
70,83,0,0,0,0
67,82,0,0,0,0
76,81,0,0,0,0
0,0,0,93,87,85
0,0,90,86,89,82
79,83,0,0,0,0
0,0,92,91,76,67
77,82,0,0,0,0
0,0,0,80,0,0
81,77,0,0,0,0
0,0,0,65,77,68
81,74,0,0,0,0
73,87,0,0,0,0
0,0,94,94,89,74
83,90,0,0,88,0
0,0,90,96,88,84
85,85,0,0,0,0
0,0,83,73,89,81
0,0,90,90,84,61
0,0,87,77,92,69
0,88,0,0,90,0
90,86,0,0,0,0
0,92,0,0,0,0
84,78,0,0,0,0
0,0,89,89,87,86
0,0,0,88,80,93
82,73,0,0,61,0
0,82,0,0,0,85
0,83,0,0,0,0
0,0,90,90,87,72
0,0,0,0,97,0
0,0,0,78,82,79
81,83,0,0,0,0
77,0,0,0,0,62
0,0,92,78,86,85
0,81,0,0,0,0
0,0,0,62,70,51
0,0,0,84,90,80
0,0,90,87,90,77
76,85,0,0,86,0
0,0,63,60,69,74
0,0,92,94,95,79
83,80,0,0,0,0
81,86,0,0,0,0
84,74,0,0,0,0
83,75,0,0,0,74
0,0,0,74,89,84
0,88,0,0,94,0
0,0,0,58,81,74
81,87,0,0,0,0
85,88,0,0,0,0
85,77,0,0,0,0
0,0,81,87,83,83
88,82,0,0,0,0
0,0,51,68,61,67
79,91,0,0,0,85
81,0,0,0,0,0
0,0,0,96,88,90
63,70,0,0,0,0
0,0,65,63,82,65
0,76,0,0,0,0
0,87,0,0,0,0
0,0,0,94,87,64
0,0,89,85,73,74
0,0,84,69,60,67
83,84,0,0,91,0
83,84,0,0,0,0
77,76,0,0,0,0
0,73,0,0,0,0
0,0,0,79,78,72
0,0,0,0,92,0
0,0,0,80,76,71
0,0,75,98,78,89
0,69,0,0,42,0
0,0,87,86,84,78
72,81,0,0,0,72
85,88,0,0,0,0
84,90,0,0,84,0
0,87,0,0,0,0
0,0,96,90,92,85
0,0,69,65,66,60
71,0,0,0,0,0
0,0,90,96,84,76
0,0,87,84,82,78
0,0,77,65,74,76
0,0,72,68,71,68
84,90,0,0,77,0
74,85,0,0,0,0
0,93,0,0,89,0
0,92,0,0,0,0
74,0,0,0,0,0
0,70,0,0,0,0
0,0,0,0,73,78
0,0,88,81,88,80
0,0,0,78,63,71
0,0,87,87,72,68
76,78,0,0,0,0
0,0,89,68,85,78
0,0,0,0,0,0
0,0,88,89,91,85
0,93,0,0,0,0
0,0,0,90,79,77
0,83,0,0,0,0
0,0,94,98,97,71
0,0,0,64,60,66
0,0,88,86,83,82
0,0,0,71,80,0
0,91,0,0,63,0
65,73,0,0,0,0
77,60,0,0,78,0
0,0,89,84,89,80
85,84,0,0,0,0
0,0,81,90,88,89
78,0,0,0,79,0
0,0,88,79,89,84
78,80,0,0,0,0
72,92,0,0,0,0
0,0,0,90,81,83
0,86,0,0,0,0
0,72,0,0,0,0
0,0,81,79,72,73
0,0,92,88,87,72
77,88,0,0,0,0
